sourceWord	targetWord	minSource	maxSource	minTarget	maxTarget
celtic	セルティック 	the museum has a fascinating collection of celtic artifacts.	that museum has a superb collection of celtic era cultural artifacts.	その博物館にはケルト時代の文化遺産のすばらしいコレクションがある。	その博物館にはケルト時代の文化遺産のすばらしいコレクションがある。
censorship	検閲 	censorship erases truth.	censorship erases truth.	検閲とは：真実を消し去ることである。	検閲とは：真実を消し去ることである。
censor	検閲する 	i wonder which country will be the first to censor tatoeba.	i wonder which country will be the first to censor tatoeba.	最初にtatoebaを検閲する国はどこかな。	最初にtatoebaを検閲する国はどこかな。
centre	センター 	who do you think is the best centre in the nba?	this blog covers topics that centre on information infrastructure.	その町の中心にすてきな公園があります。	このブログは情報インフラを中心としたトピックを取り上げています。
hoop	フープ 	
coffin	棺桶 	
ceremony	式 	the ceremony has ended.	one important person and the stable boy arrived to the cow cabin the first of january. therefore, there is only one plastic bowl left at the tea ceremony arbor.	式典は終わりました。	一人物と馬丁が騎馬で一月一日に牛小屋に至たりました。 だから数奇屋のなかで、可塑物の大口が一つだけあります。
kite	凧 	the kite went upward.	the kite soared upwards with the swiftness of a bird.	凧が木に引っかかった。	凧は鳥のような速さで空に舞い上がった。
surround	囲む 	ropes surround the place.	the rapid spin of the earth along with the liquid, hot metallic core causes a magnetic field to surround the earth.	ロープがその場所を囲っている。	地球は内部の高温の液体金属の中心核とともに高速回転するので、地球全体を覆うような磁場を発生させる。
medical certificate	診断書 	could you fill out the medical certificate for my son's school?	could you fill out the medical certificate for my son's school?	息子の学校へ提出する健康診断書を書いていただきたいのですが。	息子の学校へ提出する健康診断書を書いていただきたいのですが。
cease-fire	停戦 	they agreed on cease-fire terms.	the united nations general assembly adopted the cease-fire resolution.	彼らは休戦条件で合意した。	新任の大使は休戦を推し進めて、これ以上の殺りくを終わらせるでしょう。
cetacean	c c 	
warmly	暖かく 	dress yourself warmly before you go out.	not dressing warmly in winter can result in catching a bad cold.	暖かくして行きなさい。	冬場に暖かい格好をしていないと結局ひどい風邪をひく羽目になる。
hearty	hearty 	he laughed a hearty laugh.	on behalf of the company, i would like to express our hearty thanks to you all.	群集はどっと笑った。	会社を代表して、あなた方すべてに心からの感謝をしたいと思います。
longboat	ロングボート 	
(us) blowtorch/(gb) blowlamp	（米国）blowtorch /（gb）blowlamp. 	
champion	チャンピオン 	tom was once a champion swimmer.	former olympic fencing champion pál schmitt has been elected president of hungary.	彼はいわゆる正義の味方だ。	かつてオリンピックのフェンシング競技で優勝したパル・シュミット氏がハンガリー大統領に選出された。
championship	チャンピオンシップ 	the team won the championship for five years running.	sometimes i wonder when the first world championship in cyberbullying will take place.	チームは５年間連続して優勝した。	時々私は、第一回サイバーいじめ選手権はいつ開催されるのだろうか、と考えることがある。
champion	チャンピオン 	tom was once a champion swimmer.	former olympic fencing champion pál schmitt has been elected president of hungary.	彼はいわゆる正義の味方だ。	かつてオリンピックのフェンシング競技で優勝したパル・シュミット氏がハンガリー大統領に選出された。
change	変化する 	change your clothes.	you say that you're afraid of being disliked by other people, but you have some people that you dislike yourself, don't you? arithmetically speaking, there are an equal number of people who you don't like that don't like you back. i'm not saying that if you end your dislike of someone, someone else will stop disliking you as well; it's just that you can't change the fact that if you dislike someone, then someone else dislikes you as well. your life will go much smoother if you just give up and accept that truth.	話題変えよう。	アメリカよ、私たちはこんなにも遠くまで歩んできました。こんなにもたくさんのことを見てきました。しかしまだまだ、やらなくてはならないことはたくさんあります。だから今夜この夜、改めて自分に問いかけましょう。もしも自分の子供たちが次の世紀を目にするまで生きられたとしたら。もしも私の娘たちが幸運にも、アン・ニクソン・クーパーさんと同じくらい長く生きられたとしたら。娘たちは何を見るのでしょう？　私たちはそれまでにどれだけ進歩できるのでしょうか？
replace (ici)	交換する（ici） 	
song	歌 	sing a song with me.	during the sochi olympics, the theme song by kobukuro was a big hit. i'm sure everyone has heard it. however, it has already been three months. we do not hear the song anymore, do we?	英雄色を好む。	ソチオリンピックの頃、コブクロのテーマ曲が流行りました。きっとみんな聞いたことがあると思います。でも、もう３ヶ月経ちました。最近、この曲を聞くことはないですよね。
goodwill	のれん 	your goodwill sank into my heart.	your goodwill sank into my heart.	あなたの善意は身にしみました。	あなたの善意は身にしみました。
conjurer (ici)	「ici） 	
have charm	魅力を与える 	
carrion feeder	腐肉フィーダー 	
carpenter	大工 	he is a carpenter by trade.	hiring a non-native french speaker to translate the document into french is like hiring a carpenter to fix your leaky faucet.	弘法筆を選ばず。	ドキュメントをフランス語に訳すのにフランス語を母国語としない人に頼むのは、水漏れする蛇口の修理を大工に頼むようなものだよ。
hunting	狩猟 	he went hunting in the woods.	we'll need a head hunting agency to find the right man for this executive position.	彼は森へ狩りに行った。	この重役のポストに適当な人物を見つけるには、人材斡旋業者に依頼する必要がある。
hunt	狩りへ 	eagles don't hunt flies.	archaeologists are those who hunt for clues about the lifestyles of ancient peoples.	鷲はハエを狩らない。	考古学者とは昔の民族の生活様式についての糸口を捜し求める人達である。
chestnut	栗 	anna has chestnut brown hair, but magdalena has blonde hair.	the prancing chestnut mare whinnied as she tried to get rid of the rider.	アナの髪は栗色だがマグダレナは金髪です。	棹立ちした栗毛の牝馬は嘶き、騎手を落とそうとした。
tickle	くすぐる 	don't tickle me!	don't tickle me!	くすぐらないで！	くすぐらないで！
boiler	ボイラー 	the boiler was heavily scaled.	the boiler was heavily scaled.	ボイラは湯あかがびっしりついた。	ボイラは湯あかがびっしりついた。
na	na 	
bald	bal 	tom has a bald spot.	my father was completely bald by the time he was forty.	トムは円形脱毛症だ。	私の父はビリヤードの玉のように頭がつるつるだ。
masterpiece	傑作 	the plan was a masterpiece of fraud.	he was surprised to find the great artist's masterpiece hung on the wall upside down.	彼の傑作はまだ現れていない。	サルマン・ラシュディの『悪魔の詩』は、近代文学の傑作の一つと見なされている。
chimney	煙突 	that chimney is very high.	a chimney carries smoke from a fireplace to the outside.	煙突は煙を出し始めた。	その煙突は真っ黒い煙を噴出している。
number	数 	my room number is 5.	you say that you're afraid of being disliked by other people, but you have some people that you dislike yourself, don't you? arithmetically speaking, there are an equal number of people who you don't like that don't like you back. i'm not saying that if you end your dislike of someone, someone else will stop disliking you as well; it's just that you can't change the fact that if you dislike someone, then someone else dislikes you as well. your life will go much smoother if you just give up and accept that truth.	お話中です。	人に嫌われるのが怖いって言うけどさ、君も苦手な人いるでしょ。数学的に言って、同じ数の人が君のこと苦手なんだよ。これは別に、嫌いな人をなくせば誰からも嫌われなくなるって言いたいんじゃなくて、単純に君に嫌いな人がいるように誰かに嫌われることがあっても仕方ないってこと。そこを諦めればもっと気楽に生きられるんじゃないかな。
choral group	コンポラルグループ 	
choreography	振り付けます 	the choreography is quite simple.	the choreography is quite simple.	振り付けはとてもシンプルだ。	振り付けはとてもシンプルだ。
stopwatch	ストップウォッチ 	
whispering	ささやきます 	i heard my parents whispering last night.	i heard my parents whispering last night.	両親が昨晩ひそひそと話をしているのを聞いた。	両親が昨晩ひそひそと話をしているのを聞いた。
whisper	ささやく 	what did she whisper to you?	he took me aside in order to whisper in my ear.	群集の中にささやきが伝わった。	彼は耳打ちしようと私をわきの方へ連れていった。
have a fall	秋になるために 	
target	目標 	tom's shot missed the target by two feet.	if a person has not had a chance to acquire his target language by the time he's an adult, he's unlikely to be able to reach native speaker level in that language.	邦彦は最初の一発で的を撃ち当てた。	意思の弱い人は批判の的になる。だから友だちでさえも、その欠点を直せるものならとおもってかれをいじめようとするだろう。
heal	癒すために 	physician, heal thyself.	let's remember that it was a man from this state who first carried the banner of the republican party to the white house, a party founded on the values of self-reliance and individual liberty and national unity. those are values that we all share. and while the democratic party has won a great victory tonight, we do so with a measure of humility and determination to heal the divides that have held back our progress.	心の傷は癒せない。	共和党の旗を掲げて初めてホワイトハウス入りしたのは、この州の人でした。そのことを思い出しましょう。共和党とは、自助自立に個人の自由、そして国の統一という価値観を掲げて作られた政党です。そうした価値は、私たち全員が共有するものです。そして民主党は確かに今夜、大きな勝利を獲得しましたが、私たちはいささか謙虚に、そして決意を持って、この国の前進を阻んでいた分断を癒すつもりです。
cicada	蝉 	the cicada nymph was caught in a spider web, grew wings and flew away.	the cicada nymph was caught in a spider web, grew wings and flew away.	せみの幼虫が、くもの巣につかまって羽化をした。	せみの幼虫が、くもの巣につかまって羽化をした。
cigar	葉巻 	he smoked a cigar after lunch.	i watched a ring of smoke that floated from his cigar into the air.	彼は昼食の後に葉巻をすった。	私は彼の葉巻から煙の輪が空中に漂っていくのをじっと見つめていた。
hanger	ハンガー 	
traffic	トラフィック 	traffic was light.	during the past 2 or 3 years, many japanese have been killed or injured in traffic accidents while traveling overseas.	信号は青だ。	私は車で通勤していますが、交通渋滞に巻き込まれないようにできるだけ早くに家を出るようにしています。
quote	見積もる 	quote me an example.	each part of the book starts with a quote taken from the life of the author: a passage from a book, a question asked to a stranger on the road, something shouted by a girlfriend.	例を一つ示してください。	こうした引用は友人に込み入った内容の連絡を行うのに効果的であった。彼の時代では理解してもらえることを充分に期待してそうした作家から引用できたからである。
quotation	引用 	we need a firm quotation by monday.	"love your neighbour as yourself" is a quotation from the bible.	月曜までに確定見積もりが必要です。	「自分を愛するようにあなたの隣人を愛せよ」ということばは聖書からの引用です。
cistern	炭水化合物 	
citizenship	市民権 	
glade	gl gl 	
stowaway	ストウウェア 	
illegally	違法に 	a lot of bicycles are illegally parked in front of the station.	a lot of bicycles are illegally parked in front of the station.	駅前には多くの自転車が違法に止められています。	駅前には多くの自転車が違法に止められています。
clandestineness	秘密性 	
rank (ici)	ランク（ici） 	
file	ファイルへ 	the file is corrupt.	an individual with an annual income of more than 15 million yen is required to file his or her final tax return in march.	ファイルが破損しています。	マイクロソフトオフィスがパソコンに入っています。添付ファイルを送るときには、このファイル形式を使って下さい。
binder	バインダー 	
categorization	分類 	
classic	クラシック 	milton is one of the classic writers.	that's because they're the classic places for 'something' to appear. like the grand piano that plays by itself, the human anatomical model that moves by itself ...	ミルトンは一流作家の人です。	何か出そうな定番の場所ですからね。自動演奏するグランドピアノや独りでに動き出す人体模型や。
clause	句 	the clause provides that all decisions shall be made by majority vote.	the clause provides that all decisions shall be made by majority vote.	その条項は、議決はすべて過半数をもって成立すると規定している。	その条項は、議決はすべて過半数をもって成立すると規定している。
clientele	顧客 	
blinker	ブリンク 	
blink	瞬く 	he left in the blink of an eye.	in the blink of an eye, the tennis-ball-sized dumpling had disappeared.	彼があっと言う間に飛び出しました。	少女はあっという間に金網フェンスを跳び越えた。
clone	クローン 	
clone	クローンに 	
fence	フェンス 	i painted the fence green.	there is a fence marking the boundary between our yard and the neighbor's.	私はフェンスを緑に塗った。	農民はどちらの候補者を支持するかについて、いまだ決めかねています。
coagulate	凝固するために 	
trunk	トランク 	is your trunk locked?	tom always keeps a set of jumper cables in the trunk of his car.	トランクには鍵がかけられていますか。	トムはいつも車のトランクにブースターケーブルを積んでいる。
coherence	コヒーレンス 	
block (ici)	ブロックする（ici）へ 	
partner	相棒 	he is a partner in crime.	i want to thank my partner in this journey, a man who campaigned from his heart, and spoke for the men and women he grew up with on the streets of scranton, and rode with on the train home to delaware, the vice president-elect of the united states, joe biden.	彼は犯罪の共犯者です。	そして戦略責任者のデビッド・アクセルロッドに。最初からいついかなるときもずっと一緒に歩いてくれた彼に、感謝したい。このために集められた、政治史上最高のチームに。この結果はみなさんのおかげです。この結果を生み出すために、みなさんはたくさんのことを犠牲にしてきた。私はみなさんにいつまでも感謝し続けます。
work with so	それを扱うために 	
joint effort	共同努力 	
collect	集める 	i collect postcards.	"honey, quick, quick. there's this website called tatoeba that's auctioning its sentence collection for a cent each! they've even got special offers like buy 100 sentences and get 1 free!" "ah great! now people collect sentences as a hobby?! what's the world coming to!"	はがきを集める。	「ほら、早く早く。タトエバっていうサイトが、集めた文章を一つ一セントで売ってるよ！文章を百個買うと一つ無料の特別セールもあるんだよ！」「ああ、そりゃいい！今じゃ世間では趣味として文章を集めるのかい！？世界はどこへ向かっているのやら！」
as a body	体として 	
community	コミュニティ 	he was actuated by community spirit.	the restraining role that the community once played is losing its force as adults become reluctant to reprimand other people's unruly children.	彼らの思想には共通性がある。	かつて、この国では、地域全体が他人の子供に注意を与えたものだが、今は、そのような大人の姿を目にすることは極めて少ない。
crash	クラッシュ 	the plane crash took 200 lives.	boeing's safety experts have joined others in the industry to form an international task force to try to eliminate one particular kind of air crash known as controlled flight into terrain, cfit.	飛行機事故はつい先週起こった。	ボーイング社の安全担当の専門家は航空産業の他の専門家と一緒になって制御飛行中の墜落（ｃｆｉｔ）として知られている墜落事故をなくそうと国際的な対策委員会を組織している。
(conf-débat)symposium/(uni)conference	（conf-débat）シンポジウム/（uni）会議 	
seal	密封する 	please put your seal here.	when tobita gives a plan his seal of approval, the client accepts it at first glance.	ここに印鑑を押して下さい。	飛田課長が、太鼓判を押した企画書ならクライアントも一発ｏｋだろう。
colonial	コロニアル 	he dates the custom from the colonial days.	he dates the custom from the colonial days.	その習慣を彼は植民地時代から始まると推定している。	その習慣を彼は植民地時代から始まると推定している。
colony	コロニー 	the colony declared independence.	the colony declared independence and became a republic.	その植民地は独立を宣言した。	その植民地は独立を宣言し、共和国となった。
colonization	植民地 	
colonize	コロニエイズする 	do you think mankind will someday colonize the moon?	do you think mankind will someday colonize the moon?	あなたはいつか人類が月に植民すると思いますか。	あなたはいつか人類が月に植民すると思いますか。
column	カラム 	add up this column of figures.	by the way, is there some blog or column online that you check often? well, it doesn't have to be online; magazines are fine, too.	このコラムは面白かった。	ところで君は何かチェックしてるブログとかコラムとかそういったものはあるのかい？いや別にウェブに限らず雑誌とかでもいいが。
colouring	着色 	the surprise fireworks colouring the autumn sky brought smiles to our faces.	the surprise fireworks colouring the autumn sky brought smiles to our faces.	秋の夜空を彩る「サプライズ花火」は、私たちに笑顔を届けてくれました。	秋の夜空を彩る「サプライズ花火」は、私たちに笑顔を届けてくれました。
combination	組み合わせ 	her kimono and obi combination is smart, isn't it?	nordic combined is one of the winter sport events, a competition where you compete on the combination of two nordic style ski events - cross country skiing and ski jumping.	党が連合して、新しい政府となった。	ノルディックコンバインドは冬季スキー競技スポーツの一つで、クロスカントリースキーとスキージャンプという二つのノルディックスキー競技を組み合わせて競う競技のことである。
fuel	燃料 	it only adds fuel to the fire.	it was announced that there is a high possibility of the fuel within the nuclear reactor of nuclear plant 1 melting.	火に油を注ぐだけだ。	原子力発電所の１号機で、原子炉内の燃料の溶融が進んでいる可能性が高い、と発表された。
eatable	食べることができます 	
comedy	コメディー 	it's a comedy movie.	love is a comedy in france, a tragedy in england, an opera in italy, and a melodrama in germany.	コメディものの映画です。	愛はフランスでは喜劇、英国では悲劇、イタリアでは歌劇、そしてドイツではメロドラマである。
comet	彗星 	halley's comet will come back in 2061.	the comet leaves a trail of light behind it as it moves.	彗星は運行しながら後ろに光の尾を引く。	ハレー彗星は、８０年ごとに１度やってくる。
funny	おかしい 	what a funny story!	on the way out i said to my waitress, "be careful, sue. there's something funny about the glasses you gave me - they're filled in on the top, and there's a hole on the bottom!"	面白い話だなあ！	店を出るときウェイトレスに言った。「用心してよ、スー。君が出してくれたグラスには何かおかしなところがあるよ。上がふさがっていて下に穴がある。」
shopkeeper	店主 	the shopkeeper urged me to buy it.	the shopkeeper urged me to buy it.	店主は私にそれを買うようしきりに勧めた。	店主は私にそれを買うようしきりに勧めた。
mall	モール 	is there a mall near here?	a new shopping mall opened on the edge of town.	明日の午後モールに行きましょう。	新しいショッピングモールが街のはずれにオープンした。
commercialize	商品化する 	
comparable	匹敵します 	as you know, life is comparable to a voyage.	what are the four major golf tournaments comparable to the ones in tennis?	この金属は強度では鉄に匹敵する。	これに匹敵するような車は日本ではずっと高いでしょう。
compare	比べる 	we compare life to a journey.	when people are being put into a hypnotic state for the first time i often, after placing them in a very light hypnotic state, wake them and ask them to compare their wakening state to that when hypnotised.	訳文を原文と比較しなさい。	相手が自分の家族について実際に話題にするような場合、子供の年齢について尋ねるのは全くかまわないし、もし自分に子供がいれば、子育て上の教育的文化的な違いを比較するのもいいであろう。
compartment	区画 	the shabby compartment remained vacant.	the shabby compartment remained vacant.	そのみすぼらしい車室は空いたままだった。	そのみすぼらしい車室は空いたままだった。
skill	スキル 	that's my skill talking.	he came on board this company with a lot of fanfare and he turns out to have the skill and talent to live up to it.	実力だよ、実力。	観衆はルチアーノを応援するかもしれないが、チャンピオンに勝つ技術がある。
competitive	競争 	his words aroused my competitive spirit.	it's not only the health aspects of sports that appeal to people, but the cooperative aspect that team sports teach, and the competitive aspect in itself.	同社の競走上の強みは何ですか。	スポーツが人々に訴えるのは、その健康的側面によるだけでなく、チーム競技が養う協調精神、それに競争的側面そのものにもよるのである。
competitiveness	競争力 	japan's competitiveness in camera making is unchallenged.	japan's competitiveness is very strong in industrial products, but weak in agricultural products.	輸出市場での競争力強化が緊急の課題である。	日本の競争力は工業製品では非常に強いが、農業産品では弱い。
(expression) to be close	（表現）閉じる 	
compliment	褒めだめる 	is it a compliment or an insult?	they paid a high compliment to the speaker.	彼らは、私に挨拶をした。	彼は敬意を表して私の言う事を聞いてくれた。
complicated	複雑に 	it's complicated as hell.	frustrated with the european languages, which he considered "too boring", christopher columbus invented "columbian", a language so complicated that only he could speak it.	マジで複雑だ！	クリストファーコロンブスは、あまりにつまらないと見なしたヨーロッパの諸言語に不満を感じて、自分しか話せないほど複雑な「コロン語」を考案した。
behavior	動作 	his behavior shocked us.	when we say that a language is culturally transmitted - that is, that it is learned rather than inherited - we mean that it is part of that whole complex of learned and shared behavior that anthropologists call culture.	彼の行動は時々奇妙だ。	私達が言語は文化的に伝えられる、つまり、学習されるものであって受け継がれるものではないと言う場合、言語は、文化人類学者が文化と呼ぶ、学習され共用される行動の複合体の一部であるという事なのである。
composer	作曲 	the composer is wrestling with the new music.	i think beethoven is the greatest composer who ever lived.	その作曲家は新しい曲に取り組んでいる。	歴史上最も偉大な作曲家はベートーヴェンだと思っています。
compost	堆肥 	
be understable	妥協できるように 	
be understanding	理解するために 	
pill	ピル 	the vitamin pill contains abundant nutrition.	love is a pill made from a great many people's sufferings.	恋は多く人生の苦痛を包むオブラートなり。	トムはビタミンとミネラルの錠剤を毎日飲んでいる。
implicate	リバイトするために 	
make compromises	妥協するために 	
electric meter	電気計 	
focus	フォーカス 	please just focus it.	the publication of the exam results over without incident, for the time being attention is naturally going to focus on the summer break, right?	ピントはどうするのですか。	試験結果発表もつつがなく終わって、当面の視点が自然と夏休みに集まってくるでしょ？
focused	焦点を当てた 	keep focused on your work.	tom's translation is too focused on the rhythm of english translation, and ignores the nuances of the original.	仕事に集中しろ。	しかし、ほとんどの研究はエメットの理論がコンピューター・グラフィックに与えた影響については焦点を当てていない。
focus	集中する 	please just focus it.	the publication of the exam results over without incident, for the time being attention is naturally going to focus on the summer break, right?	ピントはどうするのですか。	試験結果発表もつつがなく終わって、当面の視点が自然と夏休みに集まってくるでしょ？
conception	概念 	tom has no conception of what it's like to be in love.	tom has no conception of what it's like to be in love.	トムは、恋愛をするということがどんな感じなのか全くわかってない。	トムは、恋愛をするということがどんな感じなのか全くわかってない。
concern	懸念する 	it doesn't concern you.	we insist that during the next three days you make decisions which are fair to all generations and which show an active concern for the environment.	私には関係ない。	私たちは、これから３日の間に、皆さんがすべての人たちに公平で、環境問題に積極的な配慮を示す決定をするよう要求いたします。
caretaker	カーテカ 	
reach a conclusion	結論に達するために 	
condemn (ici)	非難する（ici） 	
sentencing	判決 	
condition	条件を決む 	tom's condition worsened.	an essential condition for a helpful interview is a quiet room in which doctor and parents can sit comfortably and in private without being interrupted.	症状は軽いですよ。	役に立つ面会の最も大切な条件は、医師と親がくつろいで、他人に邪魔されずに当事者だけで座ることのできる静かな部屋だ。
condolences	お悔しみに 	extend condolences to him on his father's death.	please accept our condolences on the death of your father.	父親の死のことで彼にお悔やみお言う。	ご尊父のご逝去に対し、謹んで哀悼の意を表します。
trust	信託へ 	trust me!	this e-zine is for those who, unswayed by the cajolery of the modern language industry, firmly trust that the traditional learning method of grammatical analysis is the way to go.	任せて！	私は例文の作成や翻訳作業を、母国語で行うことをおすすめします。それは、多くの人が信用できる自然な言い方や表現を使った例文を作成したり、例文を自然に翻訳することができるためです。
confident	自信を持って 	tom is confident he'll win.	people are most angry when they feel they are being mocked. that's why those who are confident in themselves seldom become angry.	勝利を確信している。	極端に言うと、彼は、自己のテーゼに完全に自信を持っているものが発揮できる虚心坦懐さで書いてはいないのである。
confidential (nb: si c'est dans le bureau pièce	 c'est bien "office" mais si c'est dans le bureau meuble	
entrust (ici)	委託する（ici） 	
confirm	確認するために 	i will confirm my plane reservation.	please tell the reservation clerk, mr ichiro takahashi, your credit card number to confirm your reservation.	飛行機の予約を確認する。	２月２７日（月曜日）のお約束の確認ですが、午前１０時に貴社にお伺いするということでしたね。
confiscate (ici)	没収する（ici） 	
jam	混雑する 	she made jam from the apples.	apparently, tom was late because there was a traffic jam on rt. 19.	途中で交通渋滞に遭った。	どうやら１９号線で交通渋滞があったもんだから、トムは遅刻したらしいよ。
confuse	混乱させるために 	never confuse art with life.	we shouldn't confuse solitude with isolation. they are two separate things.	砂糖と塩を間違えるな。	「～してはいけない」と「～しなくてもいい」を混同してはいけません。
conformed (adj)	適合（adj） 	
comfortable	快適 	i'm comfortable in english.	there is a tendency for japanese to want to know a certain amount of personal information about someone such as age, position and whether they are married or not, before they feel comfortable talking with a stranger.	ここは居心地が悪い。	日本人には、見知らぬ人と会話を始めてまだくつろいだ気分にならないうちに、相手の、年齢や地位、既婚か未婚かなどの個人的な事柄を知りたがる傾向がある。
comfortably	快適に 	i slept comfortably last night.	an essential condition for a helpful interview is a quiet room in which doctor and parents can sit comfortably and in private without being interrupted.	私は昨夜快く眠った。	役に立つ面会の最も大切な条件は、医師と親がくつろいで、他人に邪魔されずに当事者だけで座ることのできる静かな部屋だ。
confused	混乱した 	i was confused by her expression.	"i heard that tom and john are identical twins. they really do look alike, don't they?" "yes, they really do look very similar. even their parents say they get confused sometimes. those two really are very similar, aren't they?"	彼女の表情に私は困惑した。	「トムとジョンって一卵性双生児とは聞いてたけど、本当によく似てるよね？」「似てる似てる。親にも時々間違えられるって言ってたよ。あの二人はほんと、已己巳己だよ」
holiday	休日 	we have a holiday today.	november 23rd is labor thanksgiving day, which was established as a national holiday to stress the importance of labor in people's minds.	明日は休みだ。	しかし、みどりの日は2007年から5月4日に移行し、4月29日は「昭和の日」となりました。
know	知るために 	i know you.	many people easily understand the injustice of the current language situation in the world where english dominates. but they also see the collective advantages, as for example a relatively good and direct communication between intellectuals and leaders of different languages through the english language, and the personal advantages as their own knowledge of the english language. about a neutral language such as esperanto, one does not know much and does not seek information.	聞いてよ。	祖母はもうこの世にはいませんが、いま見守ってくれているはずです。私という人間を作り上げてくれたほかの家族と一緒に、祖母は見守ってくれています。今夜ここに家族のみんながいたらいいのに。それは少し寂しい。両親や祖父母が私に与えてくれたものは、あまりに計り知れない。妹のマヤ、姉のアルマ、そして兄弟や姉妹全員に。これまで支えてくれて本当にありがとう。みんなに感謝します。
connexion	接続 	
famous	有名 	i am a famous actor.	one morning, the artist found a piece of driftwood on the beach. he took it to his workshop, and from it carved the famous figure of our lady which today stands in the village church.	彼は有名な商人だ。	ある朝、彫刻家が浜辺で一本の流木を見つけました。その男はその流木を工房に持ち帰り、今日、村の教会に佇むあの有名な聖母マリアを彫り上げたのでした。
conquer	征服する 	my wish is to conquer this mountain.	when there was despair in the dust bowl and depression across the land, she saw a nation conquer fear itself with a new deal, new jobs, a new sense of common purpose. yes, we can.	私の願いはこの山を征服することである。	アメリカの大草原に絶望が吹き荒れ、大恐慌が国を覆ったとき、クーパーさんは「新しい契約（ニュー・ディール）」と新しい仕事と新しく共有する目的意識によって、国全体が恐怖そのものを克服する様を目撃しました。yes we can。私たちにはできるのです。
conquest	征服 	we should try to make the conquest of peace.	the normans' conquest of england had a great effect on the english language.	我々は平和を獲得するべきだ。	ノルマン人が英国を征服したことが英語に大きな影響を及ぼした。
devote	献てる 	i want to devote my life to education.	the women in our country are different from the women from other countries. many think that it's acceptable for women to have children and devote themselves to them entirely; and, towards their husband, to simply uphold their duty and protect their chastity.	私は人生を教育に捧げたい。	一体、わが国の婦人は、外国婦人などと違い、子供を持つと、その精魂をその方にばかり傾けて、亭主というものに対しては、ただ義理的に操ばかりを守っていたらいいという考えのものが多い。
scrupulously	慎重に 	
conscious	意識的な 	man is a conscious being.	in the end, "feminity" is something that a woman is naturally furnished with, there is no need to make any effort to show it, and it's a quality such that even if one were to make conscious efforts to hide it, it would lead to nothing.	人は意識のある生き物だ。	結局のところ「女らしさ」というものは、女である以上誰でも備えているのが当然で、努力をしてそれを示す必要もなく、また、意識的にそれを隠してもなんにもならない性質のものである。
in a row	列に 	she put her cds in a row on the shelf.	no matter how much you might think you like curry, three nights in a row is more than enough.	彼女はｃｄを棚に１列に並べた。	このトーナメントに優勝するには、７回続けて勝たなくてはいけません。
advice	助言 	advice is like salt.	"well, there's something i'd like your advice on about my research project ..." "let's see... hmm, you're investigating flowering plants then."	良薬は口に苦し。	ペルシャ絨毯を買う場合にしたがうべき最高のアドバイスは、カーペットについてよく知っておけ、ということである。
advise	アドバイスする 	i advise you not to go.	the surveyor could also advise the promoters which route could be most easily—and therefore most cheaply—constructed.	禁煙をお勧めします。	調査担当者はどのルートが一番容易に、すなわち一番安上がりに作れるかも、鉄道の推進者にアドバイスしうるであろう。
consensus	コンセンサス 	can we reach a consensus on this issue?	the prime minister stated that he would not introduce a new tax without the consensus of public opinion.	国民は税制に関しては意見が一致しなかった。	私たちはこの問題に関して合意に達することが出来るだろうか。
approval	承認 	i need your approval before i leave work early.	when a president or a governor acts wisely and lawfully, americans express their approval by reelecting him and by supporting his political party.	このお願いをお認めいただけましたら幸いです。	大統領や知事が立派に合法的に行動した場合には、米国民は彼らを再選し、彼らが属する政党に指示を送ることによって承認を表明する。
conservatoire	conservatoire 	
instruction	命令 	she gives instruction in english.	for safety purposes, please make sure to read the instruction manual before using this product.	彼女は英語を教えている。	説明書の通りにそれぞれの部分をチェックしましたが、動きませんでした。
comfort	快適 	i can comfort her.	bill just wanted to comfort monica, but she interpreted it as romantic interest.	旅に出ることには慰めがある。	人間楽ばかりしてるとだめになる。たまには、自分で自分の首をしめるくらい窮地に追い込むのもありだと思う。
consumption	消費 	the price includes the consumption tax.	surely, in the present-day society, we might as well consider it natural that consumption plays an important role in the life of man and is closely related to his well-being and happiness.	値段には消費税を含みます。	確かに、現代社会は消費が人々の生活に重要な役割を果たし、幸福や喜びに強く結 びついているのも当然のことといえる。
note (ici)	注（ici）に注意する 	
contagious	伝染性 	she suffers from a contagious disease.	a contagious disease descended on the town.	彼女は伝染病を患っている。	伝染病が不意にその町を襲った。
pollute (ici)	汚染する（ici） 	
contain	含む 	figs contain vitamins.	green peas are high in iron and contain nutrients that improve the colour of fingernails.	私は喜びを抑え切れなかった。	グリーンピースは鉄分が豊富で爪の色がよくなる成分が含まれている。
content	コンテンツ 	i'm content with my job.	amongst a succession of restraints self-imposed by the live event industry to help defend against the spread of the coronavirus, one entertainment company has announced that it will be broadcasting live content of it's artists free of charge for a limited time to help make time a little more enjoyable using the power of entertainment.	彼は粗衣をまとっていた。	新型コロナウイルスの感染拡大防止のために、ライブイベントの自粛が相次ぐ中、あるエンタテインメント企業は、エンタテインメントの力で少しでも楽しい時間を過ごしてもらえるようにと、所属アーティストのライブ映像コンテンツを期間限定で無料配信すると発表した。
opposition	反対 	their opposition broke down.	parliamentary activity has become a political tug of war between the ruling and opposition parties over the issue.	彼らの反対はくずれた。	反体制指導者らは、共産主義者が少数野党に転落することもあり得るとしています。
