English Word	English Lemma	Short English Sentence	Long English Sentence	Short Target Sentence	Long Target Sentence
American	american	I am American.	And tonight, I think about all that she's seen throughout her century in America — the heartache and the hope; the struggle and the progress; the times we were told that we can't, and the people who pressed on with that American creed: Yes we can. At a time when women's voices were silenced and their hopes dismissed, she lived to see them stand up and speak out and reach out for the ballot. Yes we can. When there was despair in the dust bowl and depression across the land, she saw a nation conquer fear itself with a New Deal, new jobs, a new sense of common purpose. Yes we can. When the bombs fell on our harbor and tyranny threatened the world, she was there to witness a generation rise to greatness and a democracy was saved. Yes we can. She was there for the buses in Montgomery, the hoses in Birmingham, a bridge in Selma, and a preacher from Atlanta who told a people that we shall overcome. Yes we can. A man touched down on the moon, a wall came down in Berlin, a world was connected by our own science and imagination.	Eu sou americano.	E esta noite, eu penso em tudo o que ela viu ao longo do seu século na América — o sofrimento e a esperança; a luta e o progresso; as vezes em que nos disseram que não podemos e as pessoas que persistiram nesse credo americano: podemos, sim. Numa altura em que as vozes das mulheres eram silenciadas e as suas esperanças descartadas, ela viveu para as ver erguerem-se e manifestarem-se e estenderem a mão para as urnas. Podemos, sim. Quando havia desespero na tigela de poeira e depressão por toda a terra, ela viu uma nação conquistar o próprio medo com um Novo Acordo, novos empregos, um novo sentido de propósito comum. Podemos, sim. Quando as bombas caíram sobre o nosso porto e a tirania ameaçou o mundo, ela estava lá para testemunhar a ascensão de uma geração à grandeza e uma democracia foi salva. Podemos, sim. Ela estava lá para os autocarros em Montgomery, as mangueiras em Birmingham, uma ponte em Selma e um pregador de Atlanta que disse a um povo que nós haveríamos de superar. Podemos, sim. Um homem aterrou na lua, um muro caiu em Berlim, um mundo estava ligado pela nossa própria ciência e imaginação.
Amicably	amicably				
Ammunition	ammunition	Save your ammunition.	Demonstrations typically elicit a strong response that has in the past included the use of tear gas, pepper spray, rubber bullets, and live ammunition against participants, and occasionally have devolved into looting, vandalism and acts of arson.	Economize a munição.	As manifestações normalmente suscitam uma reação forte que no passado incluiu o uso de gás lacrimogéneo, gás pimenta, balas de borracha e munições reais contra os participantes e ocasionalmente degeneram em pilhagem, vandalismo ou atos de fogo posto.
Amnesia	amnesia	I have amnesia.	We never forget the first amnesia.	Eu tenho amnésia.	Nunca esquecemos a primeira amnésia.
Among	among	They are among us!	We sometimes live for three hundred years, but when we cease to exist here, we become only foam on the surface of the water and have not even a grave among those we love. We have not immortal souls, we shall never live again; like the green seaweed when once it has been cut off, we can never flourish more. Human beings, on the contrary, have souls which live forever, even after the body has been turned to dust. They rise up through the clear, pure air, beyond the glittering stars. As we rise out of the water and behold all the land of the earth, so do they rise to unknown and glorious regions which we shall never see.	Eles estão entre nós!	Nós chegamos a viver, às vezes, até trezentos anos, mas, quando deixamos de existir aqui, tornamo-nos apenas espuma na superfície da água e não temos sequer uma sepultura entre aqueles que amamos. Não temos almas imortais, nem jamais viveremos novamente; assim como as algas verdes, uma vez cortadas, nunca mais poderemos florescer. Os seres humanos, ao contrário, têm almas que vivem para sempre, mesmo depois que o corpo se transforma em pó. Elas se elevam pura e simplesmente através do ar, até além das estrelas cintilantes. Do mesmo modo que nos projetamos para fora da água para contemplar a vastidão da terra, elas alcançam regiões desconhecidas e gloriosas que nós jamais poderemos ver.
Amount	amount	This amount includes tax.	If you're an American and you're frustrated with your job, your relationships, maybe the amount of hair on your head; or if you're looking to get ahead in business or want to make a fortune in real estate or the stock market; or if you want to improve your memory or better manage your time or learn new computer skills, somewhere there's a conference or seminar or retreat for you.	Essa quantia inclui imposto.	Se for americano e se sentir frustrado com o seu emprego, os seus relacionamentos, talvez com a quantidade de cabelo na sua cabeça; ou se estiver à procura de progredir profissionalmente ou quiser fazer fortuna no ramo imobiliário ou na bolsa de valores; ou se quiser melhorar a sua memória ou gerir melhor o seu tempo ou aprender novas competências informáticas, algures existe uma conferência ou seminário ou retiro para si.
Amphibian	amphibian				
Amphora	Amphora				
Amputation	amputation				
Amusing	amusing	Foreign people are amusing.	"That story was so funny I literally died from laughter. ""Then how come you're talking to me now?"" ""Of course, I didn't actually die, it was just a figure of speech."" ""So you're saying you used 'literally' in a figurative way."" ""Apparently. Got a problem with that?"" ""No, just finding it amusing that language can twist to the point that a word comes to mean its own opposite."""	Os estrangeiros são engraçados.	"A história era tão engraçada que eu literalmente morri de rir. ""Então como é que você está falando comigo agora?"" ""É claro que eu de fato não morri, foi apenas uma figura de linguagem."" ""Então você está dizendo que usou 'literalmente' em sentido figurado."" ""Evidentemente. Há algum problema nisso?"" ""Não, só estou achando engraçado que se possa torcer a língua a tal ponto, que uma palavra chegue a significar o contrário de si mesma."""
Analysis	analysis	What's your analysis?	A careful analysis of the process of observation in atomic physics has shown that the subatomic particles have no meaning as isolated entities, but can only be understood as interconnections between the preparation of an experiment and the subsequent measurement.	Qual é a sua análise?	Uma análise cuidadosa do processo de observação na física atômica mostrou que as partículas subatômicas não têm nenhum significado enquanto entidades isoladas, mas só podem ser entendidas como interconexões entre a preparação de um experimento e a mensuração subsequente.
Analysis	analysis	What's your analysis?	A careful analysis of the process of observation in atomic physics has shown that the subatomic particles have no meaning as isolated entities, but can only be understood as interconnections between the preparation of an experiment and the subsequent measurement.	Qual é a sua análise?	Uma análise cuidadosa do processo de observação na física atômica mostrou que as partículas subatômicas não têm nenhum significado enquanto entidades isoladas, mas só podem ser entendidas como interconexões entre a preparação de um experimento e a mensuração subsequente.
Anarchistic	anarchistic				
Anarchy	anarchy	President Richard Nixon is heard on tape discussing with a series of top advisers about how to ensure Spain did not lurch into anarchy after the death of General Francisco Franco.	President Richard Nixon is heard on tape discussing with a series of top advisers about how to ensure Spain did not lurch into anarchy after the death of General Francisco Franco.	Ouve-se uma gravação do presidente Richard Nixon a discutir com uma série de altos-conselheiros sobre como assegurar que a Espanha não mergulha na anarquia após a morte do general Francisco Franco.	Ouve-se uma gravação do presidente Richard Nixon a discutir com uma série de altos-conselheiros sobre como assegurar que a Espanha não mergulha na anarquia após a morte do general Francisco Franco.
Anatomy	anatomy	He knows nothing about anatomy.	Then, this child of fourteen years learned, as in a homework, that which we hide to maidens until their wedding night. She flipped through the drawings of the anatomy book, those superb drawings of a bloody reality. She paused upon each organ, understanding the most secret of them, those upon which is built the shame of men and women.	Ele não sabe nada de anatomia.	Então, esta criança de catorze anos aprendeu, como num trabalho de casa, aquilo que escondemos das donzelas até à sua noite de núpcias. Ela folheou os desenhos do livro de anatomia, aqueles desenhos soberbos de uma realidade sangrenta. Ela deteve-se em cada órgão, compreendendo o mais secreto deles, aqueles sobre os quais é construída a vergonha de homens e mulheres.
Anatomy	anatomy	He knows nothing about anatomy.	Then, this child of fourteen years learned, as in a homework, that which we hide to maidens until their wedding night. She flipped through the drawings of the anatomy book, those superb drawings of a bloody reality. She paused upon each organ, understanding the most secret of them, those upon which is built the shame of men and women.	Ele não sabe nada de anatomia.	Então, esta criança de catorze anos aprendeu, como num trabalho de casa, aquilo que escondemos das donzelas até à sua noite de núpcias. Ela folheou os desenhos do livro de anatomia, aqueles desenhos soberbos de uma realidade sangrenta. Ela deteve-se em cada órgão, compreendendo o mais secreto deles, aqueles sobre os quais é construída a vergonha de homens e mulheres.
Anchor	Anchor	Drop the anchor!	Exterminating coyotes isn't always practical or safe, so Anchor worked with fellow biologist Stan Gehrt, a professor at Ohio State University, to launch the Urban Coyote Project, to study the animals and learn how to mitigate human-coyote conflicts.	Lance a âncora!	Exterminar os coiotes nem sempre é prático ou seguro, por isso Anchor trabalhou com o colega biólogo Stan Gehrt, professor na Universidade Estadual de Ohio, para lançar o Projeto Coiote Urbano, para estudar estes animais e aprender como mitigar os conflitos entre humanos e coiotes.
Anchovy	anchovy	Do you like anchovies?	Do you like anchovies?	Você gosta de enchova?	Você gosta de enchova?
Andes	Andes	The mountains in the Himalayas are higher than those in the Andes.	As most of the world was warming up between 1910 and 1980, some areas south of the equator near the Andes were actually cooling down, and then afterwards had no change at all until the middle 1990s.	As montanhas do Himalaia são mais altas do que as dos Andes.	Enquanto a maior parte do mundo estava a aquecer entre 1910 e 1980, algumas áreas a sul do equador perto dos Andes estavam pelo contrário a arrefecer e depois desse período não registaram nenhuma mudança até meados dos anos 90.
Anesthesia	anesthesia				
Angel	angel	You're an angel!	If men were angels, no government would be necessary. If angels were to govern men, neither external nor internal controls on government would be necessary. In framing a government which is to be administered by men over men, the great difficulty lies in this: you must first enable the government to control the governed; and in the next place oblige it to control itself.	Você é um anjo!	Se os homens fossem anjos, nenhum governo seria necessário. Se os anjos governassem os homens, nem controles externos nem internos sobre o governo seriam necessários. Ao criar um governo que será administrado por homens sobre homens, a grande dificuldade reside nisso: primeiro você precisa capacitar o governo a controlar os governados; e após isso obrigá-lo a controlar-se a si próprio.
Anger	anger	Tom's anger faded.	"An old man told his grandson, ""My son, there is a battle between two wolves inside us all. One is evil. It is anger, jealousy, greed, resentment, inferiority, lies and ego. The other is good. It is joy, peace, love, hope, humility, kindness, empathy and truth."" The boy thought about it and asked, ""Grandfather, which wolf wins?"" The old man quietly replied, ""The one you feed."""	A raiva de Tom passou.	"Um velho disse a seu neto, ""Meu filho, há uma batalha entre dois lobos dentro de todos nós. Um é mau. Ele é raiva, ciúme, ganância, ressentimento, inferioridade, mentiras e ego. O outro é bom. Ele é alegria, paz, amor, esperança, humildade, gentileza, empatia e verdade."" O menino pensou a respeito e perguntou, ""Avô, qual lobo vence?"" O velho respondeu tranquilamente, ""Aquele que você alimentar."""
Angle	Angle	A square has four angles.	That Space, as our mathematicians have it, is spoken of as having three dimensions, which one may call Length, Breadth, and Thickness, and is always definable by reference to three planes, each at right angles to the others.	Um quadrado tem quatro ângulos.	Que o Espaço, como dizem os nossos matemáticos, é falado como tendo três dimensões, que se pode chamar de Comprimento, Amplitude e Espessura, e é sempre definível por referência a três planos, cada um a ângulos retos dos outros.
Angry	angry	I'm angry.	Mark wrote a letter to his wife and gave it to Vassili to take to her, and this was what was in the letter: 'When the bearer of this arrives, take him into the soap factory, and when you pass near the great boiler, push him in. If you don't obey my orders I shall be very angry, for this young man is a bad fellow who is sure to ruin us all if he lives.'	Estou com raiva.	"Mark escreveu uma carta a sua esposa e pediu que Vassili fosse entregá-la, e era isto o que a carta dizia: ""Quando o portador desta chegar, leve-o para a fábrica de sabão e, quando você passar perto da grande caldeira, empurre-o para dentro dela. Se você não obedecer às minhas ordens, ficarei muito bravo, pois esse jovem é um sujeito ruim que certamente arruinará a todos nós se continuar vivo""."
Angry	angry	I'm angry.	Mark wrote a letter to his wife and gave it to Vassili to take to her, and this was what was in the letter: 'When the bearer of this arrives, take him into the soap factory, and when you pass near the great boiler, push him in. If you don't obey my orders I shall be very angry, for this young man is a bad fellow who is sure to ruin us all if he lives.'	Estou com raiva.	"Mark escreveu uma carta a sua esposa e pediu que Vassili fosse entregá-la, e era isto o que a carta dizia: ""Quando o portador desta chegar, leve-o para a fábrica de sabão e, quando você passar perto da grande caldeira, empurre-o para dentro dela. Se você não obedecer às minhas ordens, ficarei muito bravo, pois esse jovem é um sujeito ruim que certamente arruinará a todos nós se continuar vivo""."
Angry	angry	I'm angry.	Mark wrote a letter to his wife and gave it to Vassili to take to her, and this was what was in the letter: 'When the bearer of this arrives, take him into the soap factory, and when you pass near the great boiler, push him in. If you don't obey my orders I shall be very angry, for this young man is a bad fellow who is sure to ruin us all if he lives.'	Estou com raiva.	"Mark escreveu uma carta a sua esposa e pediu que Vassili fosse entregá-la, e era isto o que a carta dizia: ""Quando o portador desta chegar, leve-o para a fábrica de sabão e, quando você passar perto da grande caldeira, empurre-o para dentro dela. Se você não obedecer às minhas ordens, ficarei muito bravo, pois esse jovem é um sujeito ruim que certamente arruinará a todos nós se continuar vivo""."
Anguish	anguish	I will speak in the anguish of my spirit.	A terrible scream—a prolonged yell of horror and anguish burst out of the silence of the moor. That frightful cry turned the blood to ice in my veins.	Falarei com a angústia do meu espírito.	Um grito terrível — um berro prolongado de horror e angústia que irrompeu do silêncio da charneca. Esse bramido assustador transformou o sangue em gelo dentro das minhas veias.
Animal	animal	Animals run.	A bull, stimulated either by the scarlet colour of Miss Ashton's mantle, or by one of those fits of capricious ferocity to which their dispositions are liable, detached himself suddenly from the group which was feeding at the upper extremity of a grassy glade, that seemed to lose itself among the crossing and entangled boughs. The animal approached the intruders on his pasture ground, at first slowly, pawing the ground with his hoof, bellowing from time to time, and tearing up the sand with his horns, as if to lash himself up to rage and violence.	Os animais correm.	Um touro, estimulado seja pela cor escarlate do manto da Srta. Ashton ou por um daqueles ataques de ferocidade caprichosa a que as suas disposições estão sujeitas, separou-se subitamente do grupo que se alimentava na extremidade superior de uma clareira de relva, que parecia perder-se no meio dos ramos entrecruzados e emaranhados. O animal aproximou-se dos intrusos no seu pasto, de início lentamente, raspando o chão com o casco, mugindo de vez em quando e levantando areia com os seus chifres, como que para se flagelar até à raiva e violência.
Animist	animist	Long time ago the people of Hawaii were animists.	Long time ago the people of Hawaii were animists.	Há muito tempo atrás, as pessoas do Havaí eram animistas.	Há muito tempo atrás, as pessoas do Havaí eram animistas.
Ankle	ankle	I twisted my ankle.	The doctor said he was more concerned about Tom's ankle than his broken finger.	Eu torci o tornozelo.	O médico disse que estava mais preocupado com o tornozelo de Tom do que com seu dedo quebrado.
Annoying	annoying	How annoying!	The high-pitched whine of a mosquito is annoying, but scientists have developed an app that uses that sound to detect dangerous mosquitoes.	Que chato!	O zunido agudo de um mosquito é irritante, mas os cientistas desenvolveram uma aplicação que utiliza esse som para detetar mosquitos perigosos.
Annual	annual	His annual income is more than $100,000.	U.S. President Donald Trump addressed a friendly audience Saturday at the annual Conservative Political Action Conference, capping a tumultuous week highlighted by failed talks at a summit with North Korean leader Kim Jong Un and damning testimony before Congress by former personal attorney Michael Cohen.	Sua renda anual é de mais de $ 100.000,00.	O presidente dos Estados Unidos, Donald Trump, discursou perante uma audiência amigável no sábado na Conferência de Ação Política Conservadora anual, encerrando uma semana tumultuada marcada por negociações fracassadas numa cimeira com o líder norte-coreano Jong Un Kim e pelo depoimento ruinoso perante o Congresso do seu antigo advogado pessoal Michael Cohen.
Annular	annular				
Anonymous	Anonymous	I'd rather stay anonymous.	Calling themselves “anonymous”, the hackers hoped to flood the company's pages with web traffic, crashing the site — or at least gumming things up enough to make life miserable for the credit card giant.	Eu preferiria continuar anônimo.	Autointitulando-se “anónimos”, os piratas informáticos pretendiam inundar as páginas da empresa com tráfego eletrónico, derrubando o sítio — ou, pelo menos, atrapalhando o suficiente de modo a tornar a vida miserável à gigante dos cartões de crédito.
Answer	answer	Answer me.	Why does math seem to come easily to some folks and baffle others? Studies at Cornell University have shown that some people would rather write a long essay, for instance, than be put on the spot to come up with the correct answer to a math problem. They'd even prefer to make a speech than to go to the blackboard and add and subtract numbers in front of others. Children who've done it and come up with wrong answers often enough can develop a lifetime phobia for math.	Respondam-me.	Porque é que a matemática parece ser fácil para algumas pessoas, mas parece desconcertar outras? Estudos na Universidade de Cornell mostraram que algumas pessoas preferem escrever uma composição longa, por exemplo, em vez de serem pressionadas a encontrar a resposta correta para um problema de matemática. Eles até preferiam fazer um discurso em vez de ir à lousa somar e subtrair números em frente de outras pessoas. As crianças que tenham feito isso e que tenham obtido respostas erradas com frequência suficiente podem adquirir uma fobia duradoura à matemática.
Answer	answer	Answer me.	Why does math seem to come easily to some folks and baffle others? Studies at Cornell University have shown that some people would rather write a long essay, for instance, than be put on the spot to come up with the correct answer to a math problem. They'd even prefer to make a speech than to go to the blackboard and add and subtract numbers in front of others. Children who've done it and come up with wrong answers often enough can develop a lifetime phobia for math.	Respondam-me.	Porque é que a matemática parece ser fácil para algumas pessoas, mas parece desconcertar outras? Estudos na Universidade de Cornell mostraram que algumas pessoas preferem escrever uma composição longa, por exemplo, em vez de serem pressionadas a encontrar a resposta correta para um problema de matemática. Eles até preferiam fazer um discurso em vez de ir à lousa somar e subtrair números em frente de outras pessoas. As crianças que tenham feito isso e que tenham obtido respostas erradas com frequência suficiente podem adquirir uma fobia duradoura à matemática.
Ant	Ant	The ant was red.	Even if we wear an Armani suite or drive a Jaguar, in the end we're the same as ants. We move and move pointlessly and then we die.	A formiga era vermelha.	Mesmo se nós vestirmos um Armani ou dirigirmos um Jaguar, no final somos o mesmo que formigas. Nos movemos e nos movemos sem sentido e depois morremos.
Antarctica	Antarctica	I want to live in Antarctica.	Analysts for the European Project for Ice Coring in Antarctica say carbon dioxide levels in the atmosphere are currently 27 percent higher than the highest levels in the past 650-thousand years.	Eu quero morar na Antártida.	Os analistas do Projeto Europeu para a Amostragem do Gelo na Antártida dizem que os níveis de dióxido de carbono na atmosfera são atualmente 27 por cento mais elevados do que os níveis mais elevados dos últimos 650 mil anos.
Antelope	antelope	The colorful mascots include a panda bear, a Tibetan antelope, a swallow, a fish and the Olympic flame.	Aside from giving elephants and lions more room to roam, it could help speed the recovery of the sable and roan antelope, two severely endangered species that have nearly disappeared from Kruger.	As mascotes coloridas incluem um urso panda, um antílope-tibetano, uma andorinha, um peixe e a chama olímpica.	Para além de proporcionar mais espaço aos elefantes e leões para vaguearem, isso poderia ajudar a acelerar a recuperação da palanca-negra e -vermelha, duas espécies gravemente ameaçadas que quase desapareceram de Kruger.
Antenna	antenna	The man tried to install his own antenna.	Craig Patterson, with the Maryland Department of Natural Resources, uses a piece of equipment (resembling a hand-held remote control and antenna) to find a tiny bog turtle, underground.	O homem tentou instalar sua própria antena.	Craig Patterson, do Departamento de Recursos Naturais de Maryland, utiliza um aparelho (semelhante a um telecomando portátil com antena) para encontrar uma minúscula tartaruga-do-pântano no subsolo.
Anthem	Anthem	I sang the national anthem.	It is widely seen as the government’s move to muzzle opposition voices, after Hong Kong football fans booed the Chinese national anthem at several games.	Eu cantei o hino nacional.	É amplamente visto como a manobra do governo para amordaçar as vozes da oposição, depois dos adeptos de futebol em Hong Kong terem vaiado o hino nacional chinês em vários jogos.
Anti-Semitic	anti	Tom is an anti-Semite.	Spanish history is replete with official anti-Semitism: the 14th-century massacres of Jews in Seville, Córdoba and elsewhere, incited by a prominent Catholic clergyman; the Spanish Inquisition and forced religious conversions, beginning in the 15th century; and the expulsion of an estimated 70,000 Jews by decree of Ferdinand and Isabella.	Tom é um antissemita.	A história espanhola está repleta de antissemitismo oficial: os massacres de judeus do século XIV em Sevilha, Córdova e noutros locais, incitados por um proeminente clérigo católico; a Inquisição Espanhola e conversões religiosas forçadas, com início no século XV; e a expulsão de cerca de 70.000 judeus por decreto de Fernando e Isabel.
Anti-aircraft	anti	Tom is an anti-Semite.	Spanish history is replete with official anti-Semitism: the 14th-century massacres of Jews in Seville, Córdoba and elsewhere, incited by a prominent Catholic clergyman; the Spanish Inquisition and forced religious conversions, beginning in the 15th century; and the expulsion of an estimated 70,000 Jews by decree of Ferdinand and Isabella.	Tom é um antissemita.	A história espanhola está repleta de antissemitismo oficial: os massacres de judeus do século XIV em Sevilha, Córdova e noutros locais, incitados por um proeminente clérigo católico; a Inquisição Espanhola e conversões religiosas forçadas, com início no século XV; e a expulsão de cerca de 70.000 judeus por decreto de Fernando e Isabel.
Anti-inflammatory	anti	Tom is an anti-Semite.	Spanish history is replete with official anti-Semitism: the 14th-century massacres of Jews in Seville, Córdoba and elsewhere, incited by a prominent Catholic clergyman; the Spanish Inquisition and forced religious conversions, beginning in the 15th century; and the expulsion of an estimated 70,000 Jews by decree of Ferdinand and Isabella.	Tom é um antissemita.	A história espanhola está repleta de antissemitismo oficial: os massacres de judeus do século XIV em Sevilha, Córdova e noutros locais, incitados por um proeminente clérigo católico; a Inquisição Espanhola e conversões religiosas forçadas, com início no século XV; e a expulsão de cerca de 70.000 judeus por decreto de Fernando e Isabel.
Antibiotic	antibiotic	I'm taking antibiotics.	Antibiotics were discovered at the beginning of the twentieth century.	Eu estou tomando antibióticos.	Os antibióticos foram descobertos no início do século XX.
Antibody	antibody	Those memory molecules are the antibodies.	However, in a small fraction of people who have been infected for a couple of years, their immune systems learn to recognize the viral mutations, cranking out “broadly neutralizing antibodies” that naturally block HIV in its many disguises.	Essas moléculas de memória são os anticorpos.	Contudo, numa pequena fração das pessoas que já estão infetadas há alguns anos, os seus sistemas imunitários aprendem a reconhecer as mutações virais, libertando “anticorpos amplamente neutralizantes” que bloqueiam naturalmente o VIH nos seus muitos disfarces.
Antidepressant	antidepressant	Suzana needs an antidepressant.	Suzana needs an antidepressant.	Suzana precisa de um antidepressivo.	Suzana precisa de um antidepressivo.
Antiseptic	antiseptic				
Antisocial	antisocial	He's antisocial.	I may be antisocial, but it doesn't mean I don't talk to people.	Ele é antissocial.	Eu posso ser antissocial, mas isso não significa que não fale com as pessoas.
Anxiety	anxiety	I had an anxiety attack.	Anxiety about immigration is one of the reasons why Great Britain voted to leave the European Union.	Eu tive um ataque de ansiedade.	A preocupação com a imigração foi uma das razões pelas quais a Grã-Bretanha votou por sair da Comunidade Europeia.
Anxiety	anxiety	I had an anxiety attack.	Anxiety about immigration is one of the reasons why Great Britain voted to leave the European Union.	Eu tive um ataque de ansiedade.	A preocupação com a imigração foi uma das razões pelas quais a Grã-Bretanha votou por sair da Comunidade Europeia.
Anxiety	anxiety	I had an anxiety attack.	Anxiety about immigration is one of the reasons why Great Britain voted to leave the European Union.	Eu tive um ataque de ansiedade.	A preocupação com a imigração foi uma das razões pelas quais a Grã-Bretanha votou por sair da Comunidade Europeia.
Anxiolytic	anxiolytic				
Anxious	anxious	I was anxious.	But good AEneas, pondering through the night / distracting thoughts and many an anxious care, / resolved, when daybreak brought the gladsome light, / to search the coast, and back sure tidings bear, / what land was this, what habitants were there, / if man or beast, for, far as the eye could rove, / a wilderness the region seemed, and bare.	Eu estava ansioso.	Passa a noite, entretanto, o bom Eneias / ruminando as ideias mais diversas; / e, logo que aparece a benfazeja / luz da manhã, resolve ir explorar / aquela terra estranha: quer saber / a que plagas os ventos o trouxeram, / se essa região, que agora vê deserta e inculta, / é por seres humanos ou por feras / habitada; pretende o resultado / da busca referir aos companheiros.
Any	any	Any time.	So we part, I to my country and you to remain. We are – if a man of forty can claim that privilege – fellow members of the world's largest younger generation. Each of us have our own work to do. I know at times you must feel very alone with your problems and difficulties. But I want to say how impressed I am with what you stand for and the effort you are making; and I say this not just for myself, but for men and women everywhere. And I hope you will often take heart from the knowledge that you are joined with fellow young people in every land, they struggling with their problems and you with yours, but all joined in a common purpose; that, like the young people of my own country and of every country I have visited, you are all in many ways more closely united to the brothers of your time than to the older generations of any of these nations; and that you are determined to build a better future.	A qualquer hora.	Por isso, separamo-nos, eu para o meu país e vocês para ficarem. Somos— se um homem de quarenta anos pode reivindicar esse privilégio — colegas da maior geração mais jovem do mundo. Cada um de nós tem o seu próprio trabalho a fazer. Sei que, por vezes, devem sentir-se muito sós com os vossos problemas e dificuldades. Mas quero dizer o quanto estou impressionado com aquilo que defendem e com o esforço que estão a fazer; e digo isto não só por mim, mas por homens e mulheres de toda a parte. E espero que, muitas vezes, se sintam encorajados por saberem que se juntam aos vossos companheiros jovens de todas as terras, que lutam com os seus problemas e vocês com os vossos, mas que todos se juntaram com um objectivo comum; que, tal como os jovens do meu próprio país e de todos os países que visitei, estão todos, em muitos aspectos, mais unidos aos irmãos do vosso tempo do que às gerações mais velhas de qualquer destas nações; e que estão determinados a construir um futuro melhor.
Anyone	anyone	Anyone home?	If there is anyone out there who still doubts that the United States is a place where all things are possible; who still wonders if the dream of our founders is alive in our time; who still questions the power of our democracy, tonight is your answer.	Tem alguém em casa?	Se ainda existe alguém que duvida que os Estados Unidos são o lugar onde todas as coisas são possíveis; que ainda imagina se o sonho de nossos fundadores permanece vivo em nossa época; que ainda questiona a força de nossa democracia, a noite de hoje é a sua resposta.
Anyway	anyway	Anyway.	Tom knew Mary didn't want to do that, but he wanted her to do it anyway.	De qualquer forma.	O Tom sabia que a Mary não queria fazer isso, mas ele queria que ela fizesse assim mesmo.
Anywhere	anywhere	I sleep anywhere.	The great salt plain stretched before his eyes, and the distant belt of savage mountains, without a sign anywhere of plant or tree, which might indicate the presence of moisture.	Eu durmo em qualquer lugar.	O grande deserto de sal estendia-se diante dos seus olhos e a cordilheira distante de montanhas selvagens, sem qualquer sinal de planta ou árvore que pudesse indicar a presença de humidade.
Apartment	apartment	I'm in my apartment.	On this he burst forth into a tremendous passion, took leave of the mother with maledictions, and as he left the apartment, turned back to say to his weak, if not fickle, mistresss: “For you, madam, you will be a world's wonder”; a phrase by which some remarkable degree of calamity is usually implied.	Estou no meu apartamento.	"Com isto, ele irrompeu numa tremenda paixão, despediu-se da mãe com maledicências e, ao sair do apartamento, voltou-se para trás para dizer à sua débil, se não volúvel, amante: ""Pois tu, senhora, tu serás uma maravilha do mundo""; uma frase pela qual um grau notável de calamidade é geralmente insinuado."
Aperitif	aperitif				
Apologize	apologize	I apologize.	There are some phrases that may help you when you need to apologize in English.	Perdão.	Existem algumas frases que poderão te ajudar, quando você precisar pedir desculpas em inglês.
Apostrophe	Apostrophe				
Appeal	appeal	Tom will appeal the ruling.	A hostile and defiant Ratko Mladic appeared in a U.N. court in the Hague Wednesday to appeal his 2017 life sentence for war crimes, genocide, and crimes against humanity committed in the early to mid-1990s.	Tom recorrerá da decisão.	Ratko Mladic, hostil e desafiante, apresentou-se num tribunal da ONU em Haia na quarta-feira para recorrer da sua sentença perpétua de 2017 por crimes de guerra, genocídio e crimes contra a humanidade cometidos entre o início e meados da década de 1990.
Appendicitis	appendicitis	I have appendicitis.	It seems to me you have appendicitis.	Eu tenho apendicite.	Parece-me que você tem apendicite.
Appetite	Appetite	I have no appetite.	The online group was asked to report symptoms at least once a week — sooner if they had a problem — and given a list of common ones such as appetite loss, constipation, cough, diarrhea, shortness of breath, fatigue, hot flashes, nausea or pain.	Estou sem apetite.	Pediu-se que o grupo virtual comunicasse quaisquer sintomas pelo menos uma vez por semana — mais cedo se surgisse algum problema — e foi dada uma lista de sintomas comuns, tais como a perda de apetite, prisão de ventre, tosse, diarreia, falta de ar, fadiga, calores, enjoo ou dores.
Appetite	Appetite	I have no appetite.	The online group was asked to report symptoms at least once a week — sooner if they had a problem — and given a list of common ones such as appetite loss, constipation, cough, diarrhea, shortness of breath, fatigue, hot flashes, nausea or pain.	Estou sem apetite.	Pediu-se que o grupo virtual comunicasse quaisquer sintomas pelo menos uma vez por semana — mais cedo se surgisse algum problema — e foi dada uma lista de sintomas comuns, tais como a perda de apetite, prisão de ventre, tosse, diarreia, falta de ar, fadiga, calores, enjoo ou dores.
Applaud	applaud	Tom applauded.	The audience applauded him, which means his performance was a success.	Tom aplaudiu.	A audiência o aplaudiu o que significa que sua performance foi um sucesso.
Apple	apple	I ate apples.	He promised that, if he were so happy as to obtain her as his wife, he was prepared to offer him the handsomest gifts which a herdsman could bestow — a yoke of oxen fit for the plough, four hives of bees, fifty young apple trees for planting, the hide of an ox already tanned as well as a weaned calf annually.	Eu comi maçãs.	Ele prometeu que, se fosse tão feliz a ponto de a conseguir como sua esposa, ele estava disposto a oferecer-lhe os presentes mais generosos que um pastor podia conceder — uma canga para bois adequada para a charrua, quatro colmeias de abelhas, cinquenta macieiras jovens para plantar, o couro de um boi já curtido, bem como um bezerro desmamado anualmente.
Appliance	appliance	Electrical appliances have made housework easier.	The Biden administration announced actions taken by the federal government and private industry that it says will bolster the supply chain for rare earths and other critical minerals used in technologies from household appliances and electronics to defense systems.	Os eletrodomésticos tornaram o trabalho doméstico mais fácil.	A administração Biden anunciou medidas tomadas pelo governo federal e pela indústria privada que, segundo ela, irão reforçar a cadeia de fornecimento de terras raras e outros minerais críticos utilizados em tecnologias desde os eletrodomésticos e eletrónica até aos sistemas de defesa.
