English Word	English Sentence
Enigmatic	Her smile was enigmatic.
To get bogged down	The car got bogged down in the mud.
To bore	This movie is boring the children, it would be better for them to go and have a walk.
Boring	Even if his presentation was boring, he has been congratulated by the jury.
Wording	The wording of this problem is not very clear, I do not know what to do.
Investigation	The investigation has been lasting for a few weeks but there is still no lead.
To investigate	Even though the police has been investigating this case for several months, no progress seems to have been made.
Investigator	The investigators have solved the case in two weeks.
Recording	The recording of the conference is poor in quality.
To record	I have recorded the conference so that you can rewatch it.
To catch a cold	I caught a cold because I have waited for a long time in the cold.
To grow rich	He grew really rich these last three years.
To recruit (ici)	Even if he is underage, he got recruited in the army.
Teacher	I did not know that teachers were so underpaid here.
To teach	He teaches history, more precisely Chinese history and mostly the Ming dynasty history.
Sunny	After a beautiful sunny day, we have spent the evening cooking.
Next	We will go to the movies tomorrow afternoon, I do not know what we will do next.
To bury	The cat has to be buried as fast as possible.
Enthusiasm	His enthusiasm is contagious.
To get enthusiastic	Why do you get so enthusiastic for the project these days ?
Enthusiastic	The students would be more focused if the professors were more enthusiastic.
Completely	I completely agree with what this political party proposes.
Around	The horses are grazing in the fields around the farm.
To hear	I did not hear what you have told me.
Entr'acte	He went to call someone during the entr'acte.
Training	I do not think I can follow such a training regimen for years.
To practice	If you practiced more often, you would progress more quickly.
Coach	The coach of this team has quit because he was underpaid.
Storehouse	Someone intruded in the storehouse during the night.
To begin	He is not in the mood to begin a new project.
Interview	If you prepared your interviews better, you would already have gotten a job
To invade	The entire area has been invaded by the enemy.
To wrap up	Among others, I have wrapped your brother's and your sister's presents in newspapers sheets.
Around	It took me around an hour to find a place to park.
To consider	I did not consider this situation either.
Conceivable	Several solutions are conceivable, I can either rent a flat or buy a studio.
Thick	This book is thicker but nevertheless lighter than that one.
To spread	We should spread pesticides on the cultivated lands before the rain.
To blossom	I am under the impression that he has blossomed since he changed schools.
To save money	If you do not save money at all, you will have problems when you are older.
Epidemic disease	When did the epidemic start to spread ?
To peel	Would you mind peeling the vegetables ?
Peeling	In which bin should I put the peelings ?
Wife	When will your wife be back from her trip ?
To marry	I think he is going to marry his fiancée this year or later next year.
To marry	My daughter is going to marry an engineer this month, next week more precisely.
Dreadful	What happened yesterday is dreadful.
The married couple	Sometimes, the married couple would spend entire days walking.
Event (ici)	Such a hard event requires long physical preparation.
Exhausting	This is exhausting !
Exhausted	Since I have got some work left and I am exhausted, I do not think I will go out tonight.
Exhaustion	The horse died of exhaustion.
To deplete (ici)	In two years, the natural resources of this area will have been completely depleted.
Balanced	He is a relatively balanced person.
Crew	I suppose the crew will need a few days of rest after having been at sea for two months.
Team	This soccer team won the championship two years ago but they did not even qualify last year.
Equipment	The laboratory cannot afford to buy such a piece of equipment.
Fair	He does not find this solution fair either.
Fairly	The profits will be shared fairly between the employees.
To go horse-riding	She has been going horse-riding since she has been a little girl.
Equivalent	To apply to this position, you need a bachelor or an equivalent degree at least.
To scratch	I think I have scratched your car when I parked.
Scratch	I did not see there was a scratch on the main body of my car.
Blast	This volcanic blast is less spectacular than the previous ones.
Skirmish	The number of skirmishes is increasing at the border.
Slavery	Slavery, which had been abolished during the French Revolution, has been re-established during the Empire.
Slave	During the Ancient Greece, there were more slaves than citizens.
Escort	He wishes to have escort.
To escort	He was escorted by two bodyguards.
Crook	I have got the feeling that this man is a crook.
Swindle	He did not even realized it was a swindle.
To spy	I think my wife is spying on me.
Hope	I am sure there is still hope for victory.
Spirit (ici)	She believes in spirits.
To dodge (ici)	I have never seen someone dodging a blow so quickly.
Try	I have failed my driving licence test twice already, it is my third try.
Fitting room	Every fitting room is occupied.
To try	Why don't you try to drive ? I do not know how to do it.
To wipe up (ici)	When I will have finished the washing up, could you wipe it up ?
Estimation	According to the police's estimation, there are more than a hundred thousands demonstrators.
To estimate	He estimates that this project should take at least a year to complete.
Podium	Tomorrow, she will climb on the podium and will do her speech before thousands of people.
Floor	At which floor do you live ?
Shelf	Can you help me assemble the shelf ? I would rather not.
Watertight	This camera is supposed to be watertight but I would not try to put it in the water.
Pond	When will we go walking on the banks of this pond ?
Forever	You cannot live at your parent's forever.
Ages	It has been ages since I did not go to the pool.
Spark	The slightest spark could produce an explosion.
To stretch	In general, runners stretch after running.
Surprising	Given her lack of motivation, it is not surprising that she failed her exams.
Surprise	I have managed to hide my surprise but he did not manage to hide his.
Stifling	After having dressed up, he went out despite the stifling heat.
To choke	Wanting to eat too quickly, he nearly choked.
To strangle	The victim was apparently strangled.
Foreigner	Foreigners are very pleasantly welcomed in this country.
Euphoric	Everybody was euphoric after the victory of the national soccer team at the world championship.
Evacuation	The evacuation of the city took several days.
To evacuate	Had the authority listened to the advice of the vulcanologists, the population of the city could have been evacuated on time.
To escape	Several prisoners have escaped.
Evaluation	This is an evaluation. Cheaters will be expelled.
To assess	In this university, students are assessed all the time.
To faint	She fainted in the middle of the class.
To evaporate	You have to wait until all of the water have evaporated.
Breakout	Three prisoners have escaped from the Santé prison during a spectacular breakout.
Event	Attending this event is not worth it.
Fan	Whose fan is this? It is not mine, and by the way, it is not a fan.
Possibly	If I am staying late at the party, could I possibly sleep at your place ?
Obviously	Obviously, I do not agree with what she says.
Sink	I think the sink is clogged.
To avoid	You will not make progresses if you keep on avoiding challenges.
To bring up	He does not want me to bring up this subject anymore.
To exaggerate	I think you are exaggerating a bit.
To examine	Even though several doctors have examined him, his illness still cannot be diagnosed
To get on one's nerves	I barely see these friends because they tend to get on my nerves.
Exception	In French, there are more exceptions than grammar rules.
Exceptionally	Exceptionally, you can leave one hour earlier than usual.
To stimulate (ici)	I would like you to stop stimulating the children just before they go to bed.
To exclude	He has been excluded from his political party because of his xenophobic remarks.
Excuse	Your excuse is invalid.
To execute	The prisoners will be executed tomorrow at dawn.
Execution	The execution of a political opponent by the regime in power had international repercussions.
Exemplary	Even though he was exemplary, he failed his exams.
Example	He does not give enough examples to illustrate his lessons.
Exercise	If you do not do the exercises your professor gave you, you will probably get punished.
Exacting	It is not worthwhile to be so exacting with your children.
To require	If he requires so much work from you, it is because he thinks you are a capable person.
Exile	He was condemned to exile.
To exist	This university has been existing for nearly two thousand years, it is the oldest in Europe.
Expert	I think that the experts you have consulted are very capable.
To exhale	Exhale completely.
To exploit	He did not know he would be so exploited by working in this company.
Explorer	This explorer have spent more than three years in the Amazon rainforest, he left with more than a hundred men but less than fifty of them came back.
To detonate	Where did the bomb detonate ? Just here.
Export	If exports had not gotten so low, the trade gap would not be so high today.
To export	Why don't farmers export everything they produce ? They are not allowed to do so.
Exhibition	I am about to get out to go and see an exhibition, would you like to come along ?
On purpose	I did not forget your birthday on purpose, believe me.
To evict (ici)	More and more families are getting evicted from their homes these last few months.
Eviction	The evictions of squatters keep on happening at a frantic rhythm.
Extract	I have only heard an extract from the debate but it seemed very interesting to me.
Extreme	This bacteria can survive in extreme conditions.
Extremist	If the economic situation worsens, the extremists will probably progress in the results of the next elections.
Fable	It is a fable which is very well liked by children.
Maker	If this maker go bankrupt, it is the entire production line which will be endangered.
Front	The front of the building will be renovated next month.
To facilitate	A website has been set up to facilitate enrolments.
Bill	I will not be able to pay my bills if I lose my job.
To charge	Did he charge you for everything ?
Facultative	This class is facultative, but I recommend it to you.
To go bankrupt	The companies which were not able to get a credit went bankrupt.
Achievable	As the project goes along, I find it less and less achievable.
Family (ici)/Familial = familial	His father passed away in 1956, the family house was sold the next year.
Informal (ici)	This word is a bit informal, you should not use it in this context.
Famine	The famine lasted for around two years.
Fanatic	He became an actual fanatic.
To fade	The flowers have all faded.
Fantasy	They like fantasy literature a lot.
Ghost	The ghost always appears at almost the same time, around midnight.
Stuffed	If you want, I can cook stuffed tomatoes.
To stuff	You would better stuff the chicken before putting it in the oven.
To mesmerize	He is mesmerized by ants and he can spend hours watching them.
Fascist	They did not write about the demonstrations of small fascists groups neither in yesterday's newspaper nor in today's newspaper.
Tired	I am less tired when I sleep well.
Armchair	Here is the armchair I want to buy.
Favor	Wait for me if I am late, it is a favor I am asking you.
Favorable	My mother is not favorable to your sleeping at ours, it would be better if I slept at your place.
Fertility	Fertility has diminished a lot these last few years, without us knowing why.
Starchy food	You should eat less starchy food if you want to lose weight.
To pretend	He pretends to be asleep.
To congratulate	He got very good results at his exams and he has been congratulated by the headmaster himself.
Female	Contrary to the female, the male of this species has a very colorful fur.
Femur	If you did not take so many risks when you ski, you would not have had your femur broken.
Bank holiday	Tomorrow is a bank holiday, we could make the most of it to go to the countryside.
Severe	You have to be more severe with him.
Fermentation	Fermentation happens when there is no oxygen.
To ferment	Check the color of the milk in case it fermented.
Closing	Numerous students came to protest against the closing of the university.
Spanking	You have deserved the spanking you got.
Party	The party should last until 2 a.m.
To celebrate	When will you celebrate your birthday ?
February	February is colder than January.
Reliable	She is not sure he is a reliable person.
String	Do you know where I could find some string ?
File	Why don't you delete this file ? Because I am not supposed to do it.
Fictional	This is a purely fictional character.
Feverish	He is feverish this evening, as is his sister.
Extra	The extras entered the room where the casting was to take place.
To film	How does he think he will do to film this scene ?
To filter	It is essential to filter the water before drinking it.
Finalist	Who are the two finalists of this tournament ?
To fund/To finance	Some friends have financially helped me to launch the project.
Financial	The company is going through tough financial problems at the time.
Tax policy	The government has just announced a new tax policy reform.
Crack	Some cracks have recently appeared in the walls.
To stare	The cat has been staring at something through the window for more than five minutes.
Flame	The flame got blue.
Pond	Do not step in the ponds.
To please	You will not get what you want by pleasing such people.
Arrow	I have found the arrow I have shot but I did not find yours.
Flexible	My manager is as flexible as the boss is severe concerning delays.
Blurry	This picture has not been charged because it is too blurry.
Functioning	I do not understand the functioning of this computer.
To work	The television does not work well when there is a thunderstorm.
Basic	A lot of students did not absorb the basic principles of physics, only a few did well at the exams.
Foundation	The association gets money from a corporate foundation.
Underpinning (ici)	They are building the underpinnings of the house.
Founded	I do not think your suspicions are well-founded.
Drilling	The drilling will resume either next month or the month after that.
Plan	This plan seems more interesting than that one.
Formality	Going to the Prefecture is a mere formality but I have to go there to get my residence permit.
Format	In which format should I save the picture, .jpeg or .png ?
Tremendous	I think this researcher is doing a tremendous job.
Form	Please complete this form.
Fossil	Such fossils cannot be found in every region of the world.
Lightning (bolt)	A lightning bolt stroke this tree which began a fire.
To go through (ici)	Who went through my stuff ?
Foulard	I think I forgot my foulard in the living room or in your bedroom, check on the table and under the bed.
Fracture	This is a tibia fracture.
To brake a bone	She broke her tibia when she fell down the stairs.
To associate	You should stop associating yourself with him.
To be sensitive to the cold	He is sensitive to the cold.
To curl	My hair curl when they are wet.
To cheek	She does not stop cheeking him with her new car.
To shiver	If you are shivering it is because you are not covered well enough.
Coldly	This man has been coldly shot in the head.
Wrinkled	This shirt is all wrinkled you would better iron it before putting it on.
To brush	I brushed his car with mine.
To frown	While waiting for the bad news, she frowned.
To frustrate	This apartment is cleaner and quieter than mine, it frustrates me not to have enough money to buy it.
Fugitive	Two fugitives have been arrested by the police when they were trying to cross the border.
To run away	The police are looking for two children who might have run away.
To flee	Hundreds of villagers have fled the area because of the fights, several thousands of them already live in refugee camps.
On the run	Two prisoners are still on the run but they will be arrested quickly.
Funeral	Do I have to attend my father's funeral?
To be in a rage	She is in a rage beacuse you did not call for her birthday.
Fuse	Go and check if it is not the fuses that have blown.
Shoot-out	Some friends were in the bar when the shoot-out erupted.
To shoot	Soldiers who have mutinied will be shot.
To merge	There is nothing surprising in the fact that these two companies have merged.
Futuristic	This car has a futuristic design.
To waste	I do not like it when you waste food.
Trigger	I did not dare to pull the trigger.
Waste	What a waste !
Galant	His brother is galant to the same extent that he is very ill-bred.
Galloping	Having been frightened by the gunshot, the horses went galloping away.
Garage	I had to bring my car to the garage, can I use yours in the meantime ?
Custodian (ici)	The custodian of the building takes a break at one fifteen.
To park	Do not park the car at the main access of the garage.
Tourniquet	We put up a tourniquet to stop the bleeding.
Waste	Who is responsible for this waste ?
To waste	The children have wasted a lot of water when they played with the garden hose.
Lawn	I have watered the lawn this week while the neighbors did not water their.
Frost	My tomatoes died because of the frost ; the neighbors did not manage to save theirs either.
Frozen	The ground is generally frozen in the winter.
To freeze	Last winter, the plumbing in my uncle's house exploded because the water had frozen in the pipes.
Gum	Her gums bleed each time she brushes her teeth.
Son-in-law	It was the first time that I met my son-in-law, he did not even come to visit me once before.
	Do not stay here, you prevent people from getting in the metro.
Generator	Since the electricity has been cut, he went up to switch the emergency generator on.
Generation	He is of the same generation as my parents.
Generous	He is the most generous man I know.
Geneticist	This geneticist's discoveries have surprised the scientific community.
Genius	Every student who gets into this prestigious university is not necessarily a genius.
Genocide	The acknowledgement of the Armenian genocide is a bone of contention between France and Turkey.
Genome	What is the size of the human genome ?
Geopolitics	When he was young, he could spend hours speaking about geopolitics.
To chap (ici)	It is really cold today ! My lips are chapped.
To handle	It would be better if you would come earlier, I do not seem to be able to handle the children alone.
Management	What a bad management ! Now I can see why the company went bankrupt.
Slap	You have deserved the slap you got.
To slap	He slapped him.
Deposit	The oil deposit which has been discovered offshore will be exploited by a Brazilian company.
Frost	It was so cold last night that there is frost this morning.
Freezing cold	The bedrooms at the back and the one on the left are freezing cold in the winter, hence why nobody sleeps in it at the moment.
Glaciation	The last great glaciation dates back to around twenty thousand years.
Ice cube	The ice cubes you have put in your glass have already melted.
Slippery	The ground is more slippery when it is wet.
Landslide	The house I lived in when I was little has been taken by a landslide.
On the whole	On the whole, things are going quite well.
Global (ici)	The global economic situation does not seem to get better.
Seagull	There is a seagull over there.
To inflate	There ! Inflate this balloon for your little sister !
Flask	When I wanted to drink some water, I have realized that the flask you gave me was empty.
Glutton	My little brother is a glutton, he ate a huge slice of cake, a slice of bread, drank a large jug of fruit juice and he finished the small pastry box.
Gluttony	You bought too many cakes, it is gluttony.
Drop	A drop of water fell on my computer.
Government	She works as a secretary in a government agency.
Governor	The governor came here to make a speech about the economic crisis.
Government	If the government imposes this law, there will probably be huge strikes.
Non-commissioned officer (NCO)	Several non-commissioned officers appear to have defected and they might have joined the rebellion.
To grow up	He has grown so much ! He became a young man.
Chart	I am not satisfied with the charts I have made, could you show me yours or hers ?
To itch	This pimple has been making me itch for days.
For free (ici)	The repairings of my car were very expensive, I do not know how my parents did to get their for free.
Rubbles	The rubbles have to be thrown away at the garbage dump, could you go there in my place ?
Gravitation	Newton is the first to have explained the law of gravitation.
Gravity	At the surface of the moon, the gravity is four times weaker than at the surface of the Earth.
Graft	It is incredible that the graft was not been rejected.
Transplant	He was given a kindney transplant.
Striker	The strikers have occupied the factory as well as the office of the director (among others).
Seriously	The situation is worst than what I thought, your grandfather is seriously injured.
Toaster	I have put the last slice of bread in the toaster, as a result there is no more bread, could you go and buy only one loaf ?
Climber	The climber prepared his equipment and started the ascent of the rock face.
To creak (ici)	The door is creaking, we should put some oil on the hinges.
Flu	He probably caught the flu yesterday, I suppose he will need to see a doctor tomorrow.
To scold	Do not be so cheeky or you will get scolded.
Pregnancy	Pregnancy lasts for more than a year for elephants.
Rude	Each time, he is very rude to me.
Rudeness	What rudeness !
To put on weight	I have travelled to Brazil last summer, I have put on weight a lot there.
Group	My brother has prefered to come in my English group because he was very bored in his, the level was too weak there.
To get better	The patients who have been prescribed this drug got better more quickly than the others.
Recovery	The recovery will probably take a few weeks.
Ambush	The soldiers were been caught in an ambush on a patrol.
Window	The window looks closed. I can see it clearly.
Guide	The guide we have hired will accompany us for the entire trip.
Handlebars	The handlebars of my bike are misaligned.
Gymnast	Two gymnasts were training in the stadium when I entered.
Physical education	Each time, someone gets hurt during the physical education class.
To live	I have been living here for three years ; before that I used to live in Canada but it was too cold there for me.
Habit	You have to change the habits you acquired this year.
To be used to	I was not used to such hard work conditions.
Usually	Usually, my sister likes taking her own motorbike rather than mine, hers is in a much better state.
To get used to	I have lived there for several years but I have never got used to the American way of life.
Hedge	You should think about planting a hedge in your garden, mine grew up in less than five years.
Hatred	Why so much hatred ?
To hate	If you hate this city that much, why don't you move out ?
Breath	This dog's breath is vile, it must be ill.
To hallucinate	He hallucinated after he ate this mushroom.
Dumbell (si altère à boules)/Barbell (si altère à disque)	Since he wanted to develop his muscles, he bought dumbells.
Hamlet	When I was younger, I lived in a hamlet where there were no more than around ten houses.
Hook	If you need hooks, I took one with me.
Disabled	A friend of ours is disabled.
Handicap	My handicap is not as serious as yours.
To handicap	I have been a bit handicapped by the fact that I did not sleep the night before the exam.
Shed	He works in an old shed he did up himself.
Haunted	The village residents claim that this house is haunted.
To harass	My boss will not stop harassing me.
Harp	His parents would like him to learn how to play the harp.
Rise	The rise of prices, which is particularly important this year, is the main theme of the campaign.
To shrug (les épaules seulement)	He shrugged to show his contempt.
Haughty	She is so haughty when she speaks to you !
Herbarium	My herbarium is not as complete as yours.
Hereditary	This illness, which hits several members of my family, is hereditary.
To inherit	Which ones of your sisters will inherit the family fortune ?
Heir	The fortune of this business man has been shared between two heirs.
Hermaphrodite	I did not know snails were hermaphrodite animals.
Ermine (si peau blanche)/Stoat (si peau brune)	My coat is made of ermine skin, what about yours ?
To hesitate	If your car breaks down, do not hesitate to borrow ours.
Clash	There were clashes between the protesters and the police during the last demonstration.
To hit	I think we hit an animal.
Hexagon	An hexagon has six sides.
To hibernate	Marmots hibernate until the end of winter.
Hierarchy	Once, I worked in a company but I resigned because the hierarchy was too rigid.
???	He gets on pretty well with his superiors.
Hindi	She learned how to speak Hindi when she lived in India.
Sea horse	Sea horses are a fish one can encounter in tropical waters.
To pay homage	The president attended a ceremony which paid homage to the soldiers who have been killed in an attack.
Homogeneous	Shake the solution until it gets perfectly homogeneous.
Heterogeneous	The level of this class is very heterogeneous.
Honestly	Honestly, I did not think you would win this competition.
Honesty	She has been surprised by the honesty with which you answered her.
Hiccups (ici)	I have had the hiccups for almost half an hour.
Horizon	The ship disappeared below the horizon.
Horizontal	If you are not sure that your board is horizontal, use a spirit level.
Hormone	In some countries, cattles are given hormones to make them grow faster.
Horoscope	I did not consult my horoscope this morning.
Speedboat	I can lend you my speedboat if yours breaks down.
To hospitalize	He has been hospitalized for a month, he went back home two days ago only.
Hospitality	I have been deeply touched by the hospitality I received.
Hospital environment	I have never worked in a hospital environment.
Hostility	This piece of law gave rise to the hostility of a large part of the population.
Swell	There is some swell today.
Stormy	We had a very bad weather there, the sea was stormy.
To boo	The speech was booed by the crowd.
~ Bailiff	A bailiff came this morning.
Humanitarian	Which one of your brothers works in the humanitarian sector ? The one you met the other day.
Mankind	Mankind will have to face unprecedented climatic changes during the next century.
Humiliation	A few months from now, he will have forgotten this humiliation.
To humiliate	I think he felt humiliated by what you told him.
Humorist	The humorist whose show we went to yesterday got laid off from the radio station where he worked.
Seaplane	I have never flown on a seaplane.
Hygiene	Hygiene is very bad in this military hospital, the wounded are all laid down one next to the other.
Hygienic	It is not very hygienic to put food here.
Anthem	I think this is the Brazilian national anthem.
To hypnotize	Nobody else succeded in hypnotizing me before.
Hypnosys	Why are you so interested in hypnosis ?
Hypothesis	This is an hypothesis I had not thought of before.
Hysterical	Don't be so hysterical !
To idealize	Don't be so naive, I think you are idealizing him too much.
To identify	His attacker could not have been identified.
Identical	I have got the same car as you, they are absolutely identical.
Identity	The culprit's identity has not been revealed.
Idol	There is an idol representing the Virgin Mary in the dining-room.
Ignorance	This is what we call ignorance.
Not to know	I did not know you had changed jobs.
Illegally	She acquired this car illegaly.
Unlimited	I can go to an unlimited number of showings with this card.
Unreadable	I find your writing unreadable.
Unrealistic	It is unrealistic to believe that this situation will last for long.
Illustration	He does not know how to read yet, he only looks at the illustrations.
Imaginary	Dragons are imaginary animals.
Imaginative	Your brother only was imaginative enough to find a solution.
Imagination	I think you lack imagination.
To imitate	I think you imitate him very well.
Uneatable	The dish he made us yesterday night was uneatable.
To register	Which cars have been vandalized ? The ones which had been registered in Paris
Still	Two still crocodiles seemes to be asleep on the banks.
Immortality	Some scientists claim they have discovered the secret of immortality.
Immortal	No one is immortal.
Immunized	I thought I was immunized against this illness.
Immunity	As soon as he no longer benefited from the presidential immunity, he was prosecuted.
Uneven	There is an uneven number of dancers, someone is going not to be have a partner.
Unforgivable	What you have done to him is unforgivable.
Unbiased	Whatever you decide, you have to appear unbiased.
Impartiality	The judge's impartiality has been challenged.
Dead end	I have parked several times in this dead end but it is a dangerous place, my side-view mirror has been broken twice.
Impatient	Don't spend hours choosing what you want to buy, the others are getting impatient.
Spotlessly clean	Wherever he goes, he always wears a spotlessly clean smoking.
Absolutely	You absolutely need to go to the bank before it closes.
Unruffled (ici)	He remained unruffled despite the provocations.
Impertinent	Your son has been impertinent several times with the teacher, he got punished twice.
Implicitly	He did not tell me explicitly only implicitly.
To get involved	You need to get more involved in your project.
Impopular	Why did the president become so impopular.
Importance	My fellow researchers did not understand the importance of my results ; by the way, they will not share theirs with me.
To impose	I have a harder time than you to impose my ideas.
Impassable	It snows again and again, the passes will undoubtly be impassable.
Vague	You cannot afford to be so vague in a scientific article.
To have the feeling	I have got the feeling that you are not very involved in your work.
To impress	I do not think you have managed to impress the jury.
Impressionism	There is a course of lectures on impressionism at the moment to which I advise you to go.
Impressionist	I regret that I cannot go to this exhibition on impressionist painters.
Unpredictable	She is an unpredictable woman.
Unexpected	We have been delayed because of an unexpected event.
To print	Have you thought about printing the document I have asked you to print?
Improvisation	Which one of your daughters takes improvisation classes ? The one you saw yesterday night.
Off-the-cuff	For an off-the-cuff speech, it was very good.
To improvise	He improvised his speech in front of thousands witnesses.
Carelessly	Hadn't he drive so carelessly, he would not have had an accident.
Unpunished	The crime remained unpunished.
Unacceptable	The workers of this factory work day and night in unacceptable conditions.
Inaccessible	This village is inaccessible when it is snowing.
Idle	Since you remained idle all day, you are cooking tonight.
Inadmissible	I find your behavior inadmissible.
Unexpected	What an unexpected answer !
Unfocused	I can explain it to him all day long, he's too unfocused to remember anything.
Opening (ici)	He must be attending the opening of the new cultural center.
To inaugurate	Where is the mayor going today ? He is going to inaugurate a new municipal swimming pool.
Incapable	He can swim for hours ; as for me, I am completely incapable of doing so.
To incarcerate	They have been incarcerated for years.
Unbreakable	Your glasses are not unbreakable, do not treat them like this.
Incident	The incident I have told you about yesterday had serious consequences.
Cremation (si au crématorium)	I went to attend the cremation of my grandmother.
To cremate	The body has been cremated yesterday.
To encourage sb to do sthg	He has been encouraged to give up.
Included	The breakfast is not included in the price of the room.
Incoherence	The Incoherence of the incoherence is one of the most famous writings of Averroes.
Incoherent	This is the most incoherent and the least convincing speech I have heard.
Incompetent	Stop believing you are the only person able to do this job, other people are not incompetent.
Incomplete	He realized by himself that his report was incomplete.
Incomprehensible	The computer will not shut down, it is incomprehensible.
Uncomfortable	This chair is uncomfortable.
Inconsolable	She is inconsolable since her boyfriend left her.
Indecent	This skirt is indecent.
To indemnify	The students who will attend this symposium will be indemnified.
Compensation	Because of his accident, he will receive compensations for the rest of his life.
Clue	The muderer did not left any clue which would allow the police to identify him.
Unworthy	This behavior is unworthy of a State representative.
Undisciplined	Your son is undisciplined, it is no surprise he got the worst mark.
Indisputably	It is indisputably him who dominated the debate.
Individualistic	He is very individualistic.
Individual	Every passenger will have his or her own individual cabin.
Individually	The teacher cannot take care each student individually.
Indulgence	It is because of your indulgence that you do not manage to win respect.
Indulgent	You should be more indulgent with people, you are way too strict.
De-industrialization	The de-industrialization of Europe has contributed to the economic crisis it is going through at the moment.
Industrialized	In industrialized countries, life is more expensive than in developing countries, but some products, such as electronic devices, are cheaper.
Industrial	It is in this industrial area that unemployment is the highest.
Inaccurate	If you only use your own technique and do not take my advice into account, you will get inacurate results.
Unforgivable	It is not only reprehensible, it is unforgivable.
Inexorably	Europe sinks inexorably into the crisis despite the austerity measures.
Tireless	When he was a child, he used to be tireless.
To infect	The cut is infected because you did not clean it.
To infiltrate	How did the police manage to infiltrate this drug traffic network ?
Infinite	In mathematics, the infinite is written ∞.
Infinity	This equation has an infinity of solutions.
Inflammable	This product is inflammable, do not put it nearer to the fire.
Inflammation	I took a medicine to calm the inflammation.
Easily influenced	He became as easily influenced as you.
To influence	I do not think the media influenced the results of the vote a lot.
Influential	He is an influential character in the fashion world.
Informal	It was a purely informal chat.
Driving offence (ici)	Durinf my two first years, I did not do any driving offence.
Impassable	The river is impassable when it has rained.
Ingenious	He is rather ingenious, he might have solved the problem by tomorrow.
Ungrateful	I offered him a really beautiful white Indian cotton shirt but he was very ungrateful and he did not want it.
Ingredients	Could you go and buy the ingredients I do not have for tonight's dish ?
Uninhabitable	This flat is uninhabitable since the wooden floor collapsed.
Unoccupied	This house has been unoccupied for years.
Unusual	This is a rather unusual event.
Initially	This is exactly what has been planned initially.
To (verbally) abuse	He got verbally abused again.
Unjust	I think that what you have done is unjust, he might not forgive you in a hurry.
Unfairly	I do not think you have been unfairly punished.
Unjustified	This punishement was totally unjustified.
Innate	Music is an innate gift for him.
Innocence	He has been proclaiming his innocence since the beginning of the trial.
Innovative	I do not think this is a very innovative project, you will certainly have a hard time collecting funds.
Innovation	What a great innovation !
Odourless	This gas is as much dangerous as it is odourless.
Harmless	This spider is absolutely harmless.
Liable to flooding	The houses which were built on areas liable to flooding have been evacuated.
To flood	That house has been flooded because of torrential rain but this one has not.
Unforgettable	What an unforgettable journey !
Worrying	It seems that the state of this nuclear reactor is quite worrying.
Unfit for habitation (ici)	This building is unfit for habitation while that one is in a good state.
Enrollment	The enrollments for university are over tomorrow.
To register	I wanted to go get myself registred at the university today but I forgot.
To imply	What are you implying exactly ?
Insistent	If he appears to be too much insistent, do not hesitate to let me know.
To insist	I have insisted to push the exams back to next week.
Carefree	Your son is a really clever person but he is also very carefree.
Inspiration	I do not seem to manage to find some inspiration anymore.
To breathe in	Breathe in deeply.
Unstable	This area has been very unstable since the intervention of the American army.
Installation	For a little moment, I thought the installation of the software had failed.
To install	How do you do to install this software program ?
Instinct	Trust your instinct.
Institute	Here is the research institute where I worked last year.
Instrument	How many instruments can you play ?
Poor (ici)	I really think your results are poor.
To insult	Which ones of your classmates have insulted you ?
Insurmontable	The obstacles you will have to face are not insurmontable.
To integrate	This child is integrated well in his class but that one is not.
To enter (ici)	I have never wanted to enter this university more.
Fundamentalist	The Christians fundamentalists who have been arrested last week have been released.
Intellectual	He is a right-wing intellectual.
Cleverly	We would have lost less time if the project had been planned more cleverly.
Intensive	If by any chance you would accept this job, you would have to take an intensive course of English to brush up.
To intensify	Even if the police have intensified the researches, the criminal is yet to be found.
Interactive	This website is not interactive enough.
To intercept	He intercepted the pass and sent the ball back to a team mate.
Ban	He parked over there despite the « no parking » ban.
To ban	Why did they ban this drug ?
Forbidden	Do not tell anyone about what you have done, it is strictly forbidden.
To temp	After his studies, he temped for several months.
Middle man	The middle men have fundamental roles in armament contracts.
Endless	In this family, they talk about politics at each meal, the talkings are endless.
Intern	Once he arrived at the hospital, he was taken care of by an intern.
???	More than two hundred people were taken in for questioning during yesterday's demonstration.
To take in for questioning	Most of the demonstartors who were taken in for questioning by the police were released in the afternoon.
Interpreter	I was not able to find an official interpreter in time, so I had to resort to a bilingual friend.
Questioning (si par la police)	The questioning lasted for hours.
To question	He is being questioned by the police.
To interrupt	The show was interrupted by the fire alarm.
Switch	Why is the switch not working anymore ?
To intervene	On average, firemen intervene twice a day and for that they are paid only one thousand euros per month.
Intervention	Without the intervention of the police, there would probably have been casualties.
~ Close (ici)	He is one of my close friends.
Privacy	I do not like this apartment very much, it lacks privacy.
Poisoning	He died because of food poisoning.
To suffer (from) poisoning	Except for you, have other persons suffered from poisoning after having eaten at that restaurant ?
Inflexible	I forgot how inflexible she was concerning deadlines.
To be unfit for travel	Given the seriousness of his injuries, he is unfit to travel.
(Which) cannot be found	This product cannot be found in the supermarkets since war broke out.
Intuition (indénombrable)	From time to time, he has good intuition.
Inventor	Do you know who is the inventor of this machine ?
Invention	This invention is going to revolutionize the world.
Investor	Even if the economic situation got better, investors still hesitate to invest in this country.
Visibility	The visibility in water was very bad this morning surely because of yesterday's tempest.
