English Word	Portuguese Translation	Short English Sentence	Long English Sentence	Short Target Sentence	Long Target Sentence
commissioner	comissário	Tom is a flight attendant.	The white teenage gunman accused of killing 10 Black people in a racist frenzy at a Buffalo, New York, grocery store would have kept on killing if he had escaped the scene, the city's police commissioner said Monday	Tom é comissário de bordo.	O atirador adolescente branco acusado de matar 10 pessoas negras durante um frenesim racista numa mercearia em Búfalo, Nova Iorque, teria continuado a matar se tivesse escapado do local, disse o comissário da polícia da cidade na segunda-feira
commonplace	comum	It's very common.	And tonight, I think about all that she's seen throughout her century in America — the heartache and the hope; the struggle and the progress; the times we were told that we can't, and the people who pressed on with that American creed: Yes we can. At a time when women's voices were silenced and their hopes dismissed, she lived to see them stand up and speak out and reach out for the ballot. Yes we can. When there was despair in the dust bowl and depression across the land, she saw a nation conquer fear itself with a New Deal, new jobs, a new sense of common purpose. Yes we can. When the bombs fell on our harbor and tyranny threatened the world, she was there to witness a generation rise to greatness and a democracy was saved. Yes we can. She was there for the buses in Montgomery, the hoses in Birmingham, a bridge in Selma, and a preacher from Atlanta who told a people that we shall overcome. Yes we can. A man touched down on the moon, a wall came down in Berlin, a world was connected by our own science and imagination.	É muito comum.	 Quando havia desespero na tigela de poeira e depressão por toda a terra, ela viu uma nação conquistar o próprio medo com um Novo Acordo, novos empregos, um novo sentido de propósito comum
communion	comunhão				
communist	comunista	I'm a communist.	Why, of course, the people don't want war. Why would some poor slob on a farm want to risk his life in a war when the best that he can get out of it is to come back to his farm in one piece? Naturally, the common people don't want war; neither in Russia nor in England nor in America, nor for that matter in Germany. That is understood. But, after all, it is the leaders of the country who determine the policy and it is always a simple matter to drag the people along, whether it is a democracy or a fascist dictatorship or a Parliament or a Communist dictatorship. [...] Voice or no voice, the people can always be brought to the bidding of the leaders. That is easy. All you have to do is tell them they are being attacked and denounce the pacifists for lack of patriotism and exposing the country to danger. It works the same way in any country.	Eu sou comunista.	 Mas, afinal de contas, são os líderes do país que determinam a política e é sempre muito simples manobrar o povo, seja numa democracia ou numa ditadura fascista, num regime parlamentar ou numa ditadura comunista
community	comunidade	A small community emerged.	 how is it to be explained that a sequence of sounds with no meaning at all suddenly from non-connotative becomes connotative, and that this new full meaning is at once accepted by the whole speaking community?	Surgiu uma pequena comunidade.	O perito em lógica enquanto tal, com a sua predileção por compartimentos herméticos no reino das ideias, não se preocupa com o que me parece ser a questão mais importante como linguista, ou seja, como explicar que uma sequência de sons sem qualquer significado de repente de não-conotativa se torne conotativa e que este novo e pleno significado seja imediatamente aceite por toda a comunidade falante?
company	companhia	I have company.	A jingle of tinkling bells mingled with the squeak of a viola; the guffaws of a rompish company blended with the tuneless chanting of discordant minstrels, and the gray parrot in its golden cage, suspended from one of the oaken beams of the ceiling, shook its feathers for the twentieth time and screamed vindictively at the roguish band	Eu tenho companhia.	Um tilintar de sinos retinintes juntava-se ao chiar de uma viola; as gargalhadas de uma companhia galhofeira mesclavam-se com o canto desafinado de trovadores discordantes e o papagaio cinzento na sua gaiola dourada, suspensa de uma das vigas de carvalho do teto, sacudiu as suas penas pela vigésima vez e gritou vingativamente para a banda malandra
comparable	comparável	Achieving the title of Grand Master in chess is comparable to receiving a black belt in judo.	Achieving the title of Grand Master in chess is comparable to receiving a black belt in judo	Alcançar o título de Grande Mestre no xadrez é algo comparável a receber a faixa preta no judô.	Alcançar o título de Grande Mestre no xadrez é algo comparável a receber a faixa preta no judô
compartment	compartimento				
compartment	compartimento				
compass	bússola	The compass points to the north.	Chess is a teaching and learning instrument older than chalkboards, printed books, the compass, and the telescope	A bússola aponta para o norte.	O xadrez é um instrumento de ensino e aprendizagem mais antigo que os quadros-negros, os livros impressos, a bússola e o telescópio
compensation	compensação	The Nobility Clause of the U.S. Constitution (Article 1, Section 9) is intended to prevent federal officeholders from receiving any type of compensation from foreign governments to avoid a corrupting influence.	If you hand over the queen or a rook in exchange for your opponent's bishop, knight, or even pawn, you are making a sacrifice, which is almost always, in fact, an investment because you are looking to gain advantageous compensation	A Cláusula relativa à Nobreza na Constituição dos EUA (Artigo 1, Secção 9) destina-se a impedir que os titulares de cargos federais recebam qualquer tipo de compensação por parte de governos estrangeiros, para evitar uma influência corruptora.	Se você entrega a dama ou uma torre em troca de um bispo, um cavalo ou mesmo um peão do seu adversário, você está fazendo um sacrifício, que quase sempre, na verdade, é um investimento, pois você tem em vista obter compensação vantajosa
competitive	competitivo	Tom is competitive.	Tom doesn't seem to be as competitive as Mary seems to be	O Tomás é competitivo.	O Tom não parece ser tão competitivo quanto a Mary parece ser
competitiveness	competitividade	Competitiveness is neither good nor bad in itself.	Competitiveness is neither good nor bad in itself.	A competitividade não é nem boa nem má por si própria.	A competitividade não é nem boa nem má por si própria
complaint	reclamação	I've had a complaint.	I don't want to hear another complaint about you	Eu tive uma reclamação.	Não quero ouvir nenhuma outra reclamação a respeito da senhora
completely	completamente	I'm worn out.	"There should be no confusion between these two completely different institutions: the ""European Council"" comprises the heads of state and government of the European Union"	Estou completamente esgotado.	"Não deve haver confusão entre estas duas instituições completamente diferentes: o ""Conselho Europeu"" inclui os chefes de Estado e de governo da União Europeia"
completely	completamente	I'm worn out.	"There should be no confusion between these two completely different institutions: the ""European Council"" comprises the heads of state and government of the European Union"	Estou completamente esgotado.	"Não deve haver confusão entre estas duas instituições completamente diferentes: o ""Conselho Europeu"" inclui os chefes de Estado e de governo da União Europeia"
complex	complexo	Tom is complex.	The algorithm a cell follows when making a protein is extremely complex	Tom é complexo.	O algoritmo que a célula segue ao fabricar uma proteína é extremamente complexo
complicated	complicado	It'll be tricky.	 At no point does it come to their mind that their vocabulary might be complicated or that their expression might most probably be ambiguous to a foreigner and that they could reword it in a simpler way	Será complicado.	 Em nenhum momento lhe passa pela cabeça que seu vocabulário pode ser muito complicado ou que sua expressão seja muito provavelmente ambígua para um estrangeiro e que poderia reformulá-la de uma maneira mais simples
compliment	elogio	Tom delivered the eulogy.	Tom noticed that Mary had a new haircut, and paid her a compliment	Tom entregou o elogio.	O Tom reparou que a Mary tinha um novo corte de cabelo, e fez-lhe um elogio
composer	compositor	Tom is a songwriter.	 The composer's interpretation of these figures does not always correspond to that of the people who try to decipher them	Tom é compositor.	 A interpretação dessas figuras pelo compositor nem sempre corresponde à das pessoas que as tentam decifrar
composition	composição	She is excellent in composition.	Why does math seem to come easily to some folks and baffle others? Studies at Cornell University have shown that some people would rather write a long essay, for instance, than be put on the spot to come up with the correct answer to a math problem. They'd even prefer to make a speech than to go to the blackboard and add and subtract numbers in front of others. Children who've done it and come up with wrong answers often enough can develop a lifetime phobia for math.	Ela é excelente em composição.	Porque é que a matemática parece ser fácil para algumas pessoas, mas parece desconcertar outras? Estudos na Universidade de Cornell mostraram que algumas pessoas preferem escrever uma composição longa, por exemplo, em vez de serem pressionadas a encontrar a resposta correta para um problema de matemática
compost	composto	This train is made up of seven cars.	The Faces of War ironically consists of only one picture — a portrait of Vladimir Putin made up of some 5,000 empty cartridge casings from the front lines in eastern Ukraine, where government forces battled Russian-backed separatists.	Este trem é composto de sete carros.	Os Rostos da Guerra consiste ironicamente de apenas uma imagem — um retrato do Vladimir Putin composto de cerca de 5
compulsory	obrigatório	It's mandatory.	The mandatory character of schooling is rarely analyzed in the multitude of works dedicated to the study of the various ways to develop within children the desire to learn.	É obrigatório.	O caráter obrigatório da escolaridade raramente é analisado na variedade de trabalhos dedicados ao estudo das várias formas de desenvolver dentro das crianças o desejo de aprender
computer	computador	I own a computer.	 I can say that our reality is like a computer simulation	Eu tenho um computador.	 Posso dizer que nossa realidade é como uma simulação por computador
computing	Informática	The Information Warfare Unit will have 100 staff members, but that figure is expected to grow to about 900 in a decade’s time.	The Information Warfare Unit will have 100 staff members, but that figure is expected to grow to about 900 in a decade’s time.	A Unidade de Guerra Informática terá 100 funcionários, mas espera-se que esse número aumente para cerca de 900 dentro de uma década.	A Unidade de Guerra Informática terá 100 funcionários, mas espera-se que esse número aumente para cerca de 900 dentro de uma década
conceivable	concebível				
concentration	concentração	He died in a concentration camp.	"The slogan ""Arbeit macht frei"" at the gates of the Nazi concentration camps was entirely cynical"	Ele foi morto em um campo de concentração.	"A divisa ""O trabalho liberta"", que se podia ler nos portões dos campos de concentração nazistas, era absolutamente cínica"
conception	concepção	For most architects, such a skyscraper represents a design challenge.	For most architects, such a skyscraper represents a design challenge.	Para a maioria dos arquitetos um arranha-céu deste tipo representa um desafio de concepção.	Para a maioria dos arquitetos um arranha-céu deste tipo representa um desafio de concepção
conditionner	condicionador	Don't you have an air conditioner?	Don't you have an air conditioner?	Você não tem um condicionador de ar?	Você não tem um condicionador de ar?
condolence	pêsames	I'm sorry for your loss.	My deepest condolences to the bereaved family	Meus pêsames.	Meus pêsames à família enlutada
Condom	Preservativo				
condor	condor				
conference	conferência	I cannot attend the conference.	If you're an American and you're frustrated with your job, your relationships, maybe the amount of hair on your head; or if you're looking to get ahead in business or want to make a fortune in real estate or the stock market; or if you want to improve your memory or better manage your time or learn new computer skills, somewhere there's a conference or seminar or retreat for you	Não posso assistir à conferência.	Se for americano e se sentir frustrado com o seu emprego, os seus relacionamentos, talvez com a quantidade de cabelo na sua cabeça; ou se estiver à procura de progredir profissionalmente ou quiser fazer fortuna no ramo imobiliário ou na bolsa de valores; ou se quiser melhorar a sua memória ou gerir melhor o seu tempo ou aprender novas competências informáticas, algures existe uma conferência ou seminário ou retiro para si
Confident	Confiante				
confine	limitar	A wise businessman knows how to clamp down on costs.	The closure of schools, Romano said, was the right thing to do to limit the spread of the virus. But he said the government should also have closed discos and stopped bus travel because people are near each other also in these places and risk contracting the virus.	Um homem de negócios astuto sabe como limitar os custos.	O encerramento das escolas, disse Romano, foi a coisa acertada a fazer para limitar a propagação do vírus
confrontation	confronto	Fadil didn't want a confrontation.	Tension between Iraq and Turkey rose a notch Wednesday after a warning by Iraqi Prime Minister Haider al-Abadi that the presence of Turkish troops in the north of the country risked provoking a larger regional confrontation	Fadil não queria um confronto.	A tensão entre o Iraque e a Turquia aumentou de nível na quarta-feira após um aviso do primeiro-ministro iraquiano Haider al-Abadi de que a presença de tropas turcas no norte do país corria o risco de provocar um maior confronto regional
confuse	confundir	We must never confuse the two.	Who in the rainbow can draw the line where the violet tint ends and the orange tint begins? Distinctly we see the difference of the colors, but where exactly does the one first blendingly enter into the other? So with sanity and insanity.	Nunca devemos confundir os dois.	Quem pode traçar no arco-íris a linha onde termina a tonalidade violeta e começa a tonalidade laranja? Nós distinguimos perfeitamente a diferença entre as cores, mas onde exatamente uma tonalidade começa a se confundir com a outra? Assim acontece com a sanidade e a loucura
Congress	Congresso	The Congress cancelled the president's ban.	 President Donald Trump addressed a friendly audience Saturday at the annual Conservative Political Action Conference, capping a tumultuous week highlighted by failed talks at a summit with North Korean leader Kim Jong Un and damning testimony before Congress by former personal attorney Michael Cohen	O Congresso derrubou o veto do presidente.	O presidente dos Estados Unidos, Donald Trump, discursou perante uma audiência amigável no sábado na Conferência de Ação Política Conservadora anual, encerrando uma semana tumultuada marcada por negociações fracassadas numa cimeira com o líder norte-coreano Jong Un Kim e pelo depoimento ruinoso perante o Congresso do seu antigo advogado pessoal Michael Cohen
connection	conexão	The line went dead.	Your game is harmonious when each move is connected to another, in a logical sequence, either with the idea of improving your position or, prophylactically, avoiding the realization of an idea of your opponent.	A conexão caiu.	Seu jogo é harmonioso quando cada lance tem conexão com outro, numa sequência lógica, seja com a ideia de melhorar sua posição, seja para, profilaticamente, evitar a concretização de uma ideia de seu adversário
connexion	conexão	The line went dead.	Your game is harmonious when each move is connected to another, in a logical sequence, either with the idea of improving your position or, prophylactically, avoiding the realization of an idea of your opponent.	A conexão caiu.	Seu jogo é harmonioso quando cada lance tem conexão com outro, numa sequência lógica, seja com a ideia de melhorar sua posição, seja para, profilaticamente, evitar a concretização de uma ideia de seu adversário
conquest	conquista	It's a big achievement.	 The winner is the player who has achieved the greatest territorial conquest	É uma grande conquista.	 O vencedor é o jogador que tiver realizado maior conquista territorial
conscious	consciente	Tom's conscious.	The whole struck her as so ridiculous that, despite every effort to the contrary, she burst into a fit of incontrollable laughter, in which she was joined by her father, though with more moderation, and finally by the Master of Ravenswood himself, though conscious that the jest was at his own expense	Tom está consciente.	O conjunto pareceu-lhe tão ridículo que, apesar de todos os esforços em contrário, ela irrompeu num ataque de riso incontrolável, ao qual se juntou o seu pai, embora com mais moderação, e finalmente o próprio Mestre de Ravenswood, embora consciente de que o gracejo era à sua própria custa
conscription	recrutamento	The police force launched a multimedia campaign and community outreach program to facilitate the recruitment of applicants from minority communities, so that the resultant force would better reflect the ethnic and cultural makeup of the population it serves.	The police force launched a multimedia campaign and community outreach program to facilitate the recruitment of applicants from minority communities, so that the resultant force would better reflect the ethnic and cultural makeup of the population it serves.	A força policial lançou uma campanha multimédia e um programa de divulgação comunitária para facilitar o recrutamento de candidatos de comunidades minoritárias, para que a força resultante refletisse melhor a composição étnica e cultural da população que ela serve.	A força policial lançou uma campanha multimédia e um programa de divulgação comunitária para facilitar o recrutamento de candidatos de comunidades minoritárias, para que a força resultante refletisse melhor a composição étnica e cultural da população que ela serve
consensus	consenso	It was consensual.	Traditionally, G-20 summits are staid affairs and despite the fact consensus on trade, development and climate issues regularly eludes the gatherings, at least efforts are made to conjure up formal bonhomie	Foi um consenso.	Tradicionalmente, as cimeiras do G-20 são acontecimentos pacíficos e apesar do consenso sobre o comércio, desenvolvimento e questões climáticas iludir regularmente as reuniões, pelo menos são feitos esforços para conjurar uma bonomia formal
Consequence	Consequência				
conservatoire	conservatório				
consist	consiste	Our class consists of 40 boys.	The spiritual journey does not consist of arriving at a new destination where a person gains what he did not have, or becomes what he is not	Nossa classe consiste em 40 garotos.	A jornada espiritual não consiste em chegar a um novo destino, onde uma pessoa adquira o que não possuía, ou se torne o que não é
constantly	constantemente	I miss you constantly.	Pythagoras used to say that he had received as a gift from Mercury the perpetual transmigration of his soul, so that it was constantly transmigrating and passing into all sorts of plants or animals	Sinto constantemente sua falta.	Pitágoras dizia que havia recebido como presente de Mercúrio a transmigração perpétua de sua alma, assim ela transmigraria e passaria constantemente por todos os tipos de plantas e de animais
constellation	constelação	A constellation shines.	I look out on the brilliant heaven, and see a milky way of powdery splendour wandering through it, and clusters and knots of stars and planets shining serenely in the blue frosty spaces; and the armed apparition of Orion, his spear pointing away into immeasurable space, gleaming overhead; and the familiar constellation of the Plough dipping down into the west; and I think when I go in again that there is one Christmas the less between me and my grave	Uma constelação brilha.	Olho para o céu brilhante e vejo uma via láctea de esplendor pulveroso a vaguear através dele e aglomerados e laços de estrelas e planetas a brilhar serenamente nos espaços gelados azuis; e a aparição armada de Órion, a sua lança apontando para um espaço imensurável, brilhando lá em cima; e a constelação familiar do Grande Carro avançando para o ocidente; e penso que quando voltar a entrar, haverá um Natal a menos entre mim e a minha sepultura
constitution	constituição	The people rejected the constitution.	Poland has rebuffed a ruling by the bloc’s highest court, claiming its own constitution has precedence over the EU laws it vowed to follow when it joined the club in 2004, although it now appears to have backed down	O povo rejeitou a constituição.	A Polónia rejeitou uma decisão do mais alto tribunal do bloco, afirmando que a sua própria constituição tem precedência relativamente às leis da UE que ela se comprometeu a seguir quando aderiu ao clube em 2004, embora ela agora pareça ter recuado
construction	construção	Tom works in construction.	Having formerly supported construction of a $400 million bridge over Alaska’s Inside Passage, Sarah later made fun of the idea, saying it would have been “a bridge to nowhere	Tom trabalha com construção.	"Tendo anteriormente apoiado a construção de uma ponte de 400 milhões de dólares sobre a Passagem Interior do Alasca, a Sarah mais tarde ridicularizou a ideia, dizendo que teria sido ""uma ponte para nenhures"""
consulate	consulado	I work at the consulate.	Augustus was born under the consulate of Cicero and Antony	Trabalho no consulado.	Augusto nasceu sob o consulado de Cícero e Antônio
consumption	consumo	Tom relapsed on heroin.	The IMF said supply chain bottlenecks have led to a shortage of an array of products throughout the world and have caused a steep increase in shipping costs, in turn boosting the cost of consumer goods.	Tom recaiu no consumo de heroína.	O FMI disse que congestionamentos na cadeia de abastecimento levaram à escassez de uma série de produtos em todo o mundo e causaram a subida acentuada dos custos de envio, por sua vez aumentando o custo dos bens de consumo
contagious	transmissível	Life is a fatal sexually transmitted disease.	My doctor told me that I had contracted a sexually transmitted infection.	A vida é uma doença fatal sexualmente transmissível.	O médico me disse que havia contraído uma doença sexualmente transmissível
contain	conter	May contain nuts.	One of the reasons Twitter is popular in Japan is a characteristic of Japanese itself: Japanese uses ideograms which enable it to convey more information in just 140 characters than other languages, not counting Chinese. Incidentally, the Japanese version of this sentence is written with exactly 140 characters. How many characters does it take in other languages?	Pode conter nozes.	Uma das razões por que o Twitter é popular no Japão é uma característica do próprio idioma japonês: esta língua utiliza ideogramas que podem conter muita informação em apenas 140 caracteres em comparação a outras línguas, sem contar o chinês
contain	conter	May contain nuts.	One of the reasons Twitter is popular in Japan is a characteristic of Japanese itself: Japanese uses ideograms which enable it to convey more information in just 140 characters than other languages, not counting Chinese. Incidentally, the Japanese version of this sentence is written with exactly 140 characters. How many characters does it take in other languages?	Pode conter nozes.	Uma das razões por que o Twitter é popular no Japão é uma característica do próprio idioma japonês: esta língua utiliza ideogramas que podem conter muita informação em apenas 140 caracteres em comparação a outras línguas, sem contar o chinês
container	recipiente	The container is full.	Inside that murky vial, attached to the negative electrode like barnacles to a ship's hull, an unusual type of bacteria feast on particles of organic waste and produce electricity that is captured by the battery's positive electrode.	O recipiente está cheio.	No interior desse recipiente turvo, ligado ao elétrodo negativo como cracas ao casco de um navio, um tipo invulgar de bactérias banqueteia-se com partículas de resíduos orgânicos e produz eletricidade que é captada pelo elétrodo positivo da bateria
contamination	contaminação	The U.N. agency said the contamination is why Nigeria has the world’s highest number of deaths from waterborne disease among children under five years old.	 agency said the contamination is why Nigeria has the world’s highest number of deaths from waterborne disease among children under five years old	A agência da ONU disse que a contaminação é a razão pela qual a Nigéria tem o maior número de mortes por doenças transmitidas pela água do mundo entre as crianças com menos de cinco anos de idade.	A agência da ONU disse que a contaminação é a razão pela qual a Nigéria tem o maior número de mortes por doenças transmitidas pela água do mundo entre as crianças com menos de cinco anos de idade
contamination	contaminação	The U.N. agency said the contamination is why Nigeria has the world’s highest number of deaths from waterborne disease among children under five years old.	 agency said the contamination is why Nigeria has the world’s highest number of deaths from waterborne disease among children under five years old	A agência da ONU disse que a contaminação é a razão pela qual a Nigéria tem o maior número de mortes por doenças transmitidas pela água do mundo entre as crianças com menos de cinco anos de idade.	A agência da ONU disse que a contaminação é a razão pela qual a Nigéria tem o maior número de mortes por doenças transmitidas pela água do mundo entre as crianças com menos de cinco anos de idade
contempt	desprezo	I despise Tom.	Criticism is something inherent to humans, just as judgment, contempt, and feces are	Eu desprezo o Tom.	Crítica é algo inerente aos humanos, bem como o julgamento, o desprezo e as fezes
contemptuous	desdenhoso	Dan isn't an arrogant and disdainful guy.	Dan isn't an arrogant and disdainful guy.	Dan não é um cara arrogante e desdenhoso.	Dan não é um cara arrogante e desdenhoso
content	contente	I'm glad.	"Anne reveled in the world of color about her. ""Oh, Marilla,"" she exclaimed one Saturday morning, coming dancing in with her arms full of gorgeous boughs, ""I'm so glad I live in a world where there are Octobers. It would be terrible if we just skipped from September to November, wouldn't it? Look at these maple branches. Don't they give you a thrill—several thrills? I'm going to decorate my room with them."""	Estou contente.	" ""Ó, Marilla"", exclamou ela num sábado de manhã, aproximando-se a dançar com os braços cheios de ramagens deslumbrantes, ""Estou tão contente por viver num mundo em que há Outubros"
continent	continente	Africa is the poorest continent.	 Security Council did not include members of his continent next year	A África é o continente mais pobre.	O presidente do Zimbabué disse no sábado que a União Africana planeava formar um grupo dissidente com países como a Rússia, China e Índia se o Conselho de Segurança da ONU não incluísse membros do seu continente no próximo ano
continuous	contínuo	Advance in science is continuous.	"Last month, Gordon said Spears engaged in ""habitual, frequent, and continuous use of controlled substances and alcohol"	É contínuo o avanço da ciência.	"O mês passado, Gordon disse que Spears se envolvia no ""uso habitual, frequente e contínuo de substâncias controladas e álcool"
continuous	contínuo	Advance in science is continuous.	"Last month, Gordon said Spears engaged in ""habitual, frequent, and continuous use of controlled substances and alcohol"	É contínuo o avanço da ciência.	"O mês passado, Gordon disse que Spears se envolvia no ""uso habitual, frequente e contínuo de substâncias controladas e álcool"
continuously	continuamente	It rained continuously all day.	 He has won numerous tournaments and has been the world's number one player continuously since 2011	Choveu continuamente o dia todo.	 Ganhou vários torneios e tem sido o jogador número um do mundo continuamente desde 2011
contraception	anticoncepcional				
contract	contrato	Sign the contract.	They probably wouldn't sue us over such a minor mistake, but we might as well double-check the contract	Assine o contrato.	Provavelmente não nos processariam por um erro tão insignificante, mas é melhor conferirmos duas vezes o contrato
contract	contrato	Sign the contract.	They probably wouldn't sue us over such a minor mistake, but we might as well double-check the contract	Assine o contrato.	Provavelmente não nos processariam por um erro tão insignificante, mas é melhor conferirmos duas vezes o contrato
contrary	contrário	Turn it over.	"That story was so funny I literally died from laughter. ""Then how come you're talking to me now?"" ""Of course, I didn't actually die, it was just a figure of speech."" ""So you're saying you used 'literally' in a figurative way."" ""Apparently. Got a problem with that?"" ""No, just finding it amusing that language can twist to the point that a word comes to mean its own opposite."""	Vire ao contrário.	" Há algum problema nisso?"" ""Não, só estou achando engraçado que se possa torcer a língua a tal ponto, que uma palavra chegue a significar o contrário de si mesma"
contribute	contribuir	I wanted to contribute.	“Let's continue to implore the God of peace so that the tensions and threats of war are overcome through a serious dialogue, so that this can contribute also to discussion in the Normandy format,” the pope said, referring to previous talks among Russia, France, Germany and Ukraine	Eu queria contribuir.	“Continuemos a implorar ao Deus da paz para que as tensões e ameaças de guerra sejam ultrapassadas através de um diálogo sério, para que isto possa contribuir também para o debate no Quarteto da Normandia”, disse o papa, referindo-se a negociações anteriores entre a Rússia, França, Alemanha e Ucrânia
Controller	Controlador				
conversation	conversação	Who teaches you English conversation?	People who are afraid of making mistakes will make no progress in English conversation	Quem o ensina conversação em inglês?	As pessoas que têm medo de cometer erros nunca farão progresso em conversação em inglês
conversion	conversão	I don't know how to convert euros to dollars.	Fadil decided he was going to be open about his conversion to Islam	Não sei fazer a conversão de euros para dólares.	Fadil decidiu que iria ser franco sobre sua conversão ao Islã
convince	convencer	I tried to convince Tom.	Trump’s administration is seeking to get Congress to approve an infusion of as much as $850 billion into the economy, including $250 billion for small business loans, and $50 billion to bail out the country’s airlines, as part of an emergency stimulus package.	Eu tentei convencer Tom.	A administração Trump está a tentar convencer o Congresso a aprovar uma infusão de até 850 mil milhões de dólares na economia, incluindo 250 mil milhões de dólares para empréstimos a pequenas empresas e 50 mil milhões de dólares para salvar as companhias aéreas do país, como parte de um pacote de estímulo de emergência
convincing	convincente	I was convincing.	The argument is rigorous and coherent but ultimately unconvincing	Eu fui convincente.	O argumento é rigoroso e coerente mas, em última análise, pouco convincente
convincing	convincente	I was convincing.	The argument is rigorous and coherent but ultimately unconvincing	Eu fui convincente.	O argumento é rigoroso e coerente mas, em última análise, pouco convincente
Cook	Cozinhar	Cooking is interesting.	Cooking takes too much time	Cozinhar é interessante.	Cozinhar leva bastante tempo
Cook	Cozinhar	Cooking is interesting.	Cooking takes too much time	Cozinhar é interessante.	Cozinhar leva bastante tempo
cook	cozinheiro	I'm a cook.	At the age of six I wanted to be a cook	Sou cozinheiro.	Aos seis anos de idade, eu queria ser cozinheiro
coop	gaiola	Close the cage.	A jingle of tinkling bells mingled with the squeak of a viola; the guffaws of a rompish company blended with the tuneless chanting of discordant minstrels, and the gray parrot in its golden cage, suspended from one of the oaken beams of the ceiling, shook its feathers for the twentieth time and screamed vindictively at the roguish band.	Fecha a gaiola.	Um tilintar de sinos retinintes juntava-se ao chiar de uma viola; as gargalhadas de uma companhia galhofeira mesclavam-se com o canto desafinado de trovadores discordantes e o papagaio cinzento na sua gaiola dourada, suspensa de uma das vigas de carvalho do teto, sacudiu as suas penas pela vigésima vez e gritou vingativamente para a banda malandra
copier	copiadora	Put some paper into the copy machine.	Tom asked for permission to use the copy machine.	Coloque um pouco de papel na copiadora.	Tom pediu permissão para usar a copiadora
copper	cobre	He melts copper.	Blue was a rare, expensive color in ancient times, whether it was derived from lapis lazuli mined in Afghanistan some 6,000 years ago, made by blending copper with other elements throughout the Middle East and in ancient China, or mixing an extract of the indigo plant with clay and resin by Mayans in Mesoamerica	Ele funde cobre.	000 anos, obtida através da mistura de cobre com outros elementos em todo o Médio Oriente e na China antiga ou da mistura de um extrato da planta anileira com argila e resina pelos Maias na Mesoamérica
copy	cópia de				
coral	coral	Mary sings in a choir.	When a coral egg and sperm join together as an embryo, they develop into a coral larva, called a planula	Maria canta em um coral.	Quando um óvulo e um espermatozoide de coral se unem formando um embrião, eles dão origem a uma larva de coral chamada de plânula
coriander	coentro				
cork	cortiça	Cork is the only tree that regenerates its bark.	Cork is the only tree that regenerates its bark.	A cortiça é a única árvore que regenera sua casca.	A cortiça é a única árvore que regenera sua casca
Cork	Cortiça				
corn	milho	Corn is a cereal.	We know it took place over three days sometime between mid-September and early November in 1621, and was considered a harvest celebration following a successful planting of multicolored flint corn, or maize, says Sheehan	O milho é um cereal.	“Sabe-se que teve lugar durante três dias, entre meados de setembro e princípios de novembro em 1621, e foi considerada uma celebração das colheitas após a plantação bem-sucedida de milho duro multicolorido”, diz Sheehan
corner	canto	I sing.	 “This was overlooked because it was in the darkest corner of the room, and no one thought of looking there	Eu canto.	 “Isto foi ignorado porque estava no canto mais escuro da sala e ninguém se lembrou de examinar lá
corporal	corporal	His body language gave him away.	If the passenger's journey involves an ultimate destination or stop in a country other than the country of departure, the Warsaw convention and the Montreal convention may be applicable, and these conventions govern, and, in most cases, limit the liability of carriers for death or personal injury and with respect to loss of or damage to baggage.	Sua linguagem corporal o denunciou.	Se a viagem do passageiro envolver um destino final ou uma paragem num país diferente do país de partida, a convenção de Varsóvia e a convenção de Montreal poderão aplicar-se e estas convenções regem e, na maioria dos casos, limitam a responsabilidade das transportadoras por morte ou lesão corporal e no que diz respeito à perda ou danos na bagagem
corpse	cadáver	Over my dead body.	"Was there a dead body in the room? ""No, there was no body there."""	Só por cima do meu cadáver.	"Havia um cadáver na sala? ""Não, não havia nenhum cadáver lá"
correction	correção	I've made a correction.	To my surprise, since Tatoeba has been back up, nobody has made any corrections to my sentences	Eu fiz uma correção.	Para minha surpresa, desde que Tatoeba voltou, ninguém fez nenhuma correção em minhas frases
correspondence	correspondência	Tom picked his mail up.	Chess is one of the most popular games in the world, being played by millions of people in amateur and professional tournaments, clubs, schools, over the internet or even by correspondence	Tom pegou sua correspondência.	O xadrez é um dos jogos mais populares do mundo, sendo praticado por milhões de pessoas em torneios (amadores e profissionais), clubes, escolas, pela internet ou ainda por correspondência
corrupt	corromper	This will erode our credibility.	Socrates was arraigned on the ground that he was corrupting the young	Isto vai corromper a nossa credibilidade.	Sócrates foi acusado de estar a corromper a juventude
corrupt	corromper	This will erode our credibility.	Socrates was arraigned on the ground that he was corrupting the young	Isto vai corromper a nossa credibilidade.	Sócrates foi acusado de estar a corromper a juventude
corruption	corrupção	Algeria needs to eradicate corruption.	"In a news release, the DOJ said Obiang used his position as minister of Agriculture and Forestry in 2011 ""to amass more than $300 million worth of assets through corruption and money laundering, in violation of both U"	A Argélia precisa erradicar a corrupção.	"Num comunicado de imprensa, o DOJ disse que Obiang utilizou o cargo de ministro da Agricultura e Florestas em 2011 ""para acumular mais de 300 milhões de dólares em ativos por meio de corrupção e lavagem de dinheiro, em violação tanto da lei dos Estados Unidos como da equato-guineense"""
